Capability,Task,BusinessLogicUnit,Service,SupportLevel,CustomizationEffort,System,Comments,Vendor,C:\Users\ksmart\workspace64bit\SEMOSS\db\VendorSelection\BluService.prop
Intensive_Care,Ability_to_have_ongoing_Critical_Incident_Monitoring_and_Quality_Improvement,Treatment_Plan_Generation,Get-Set_Care_Plan_Decision_Point,Supports with configuration,32,Procyon 15X,,Procyon,
Intensive_Care,Surge_and_Expand_ICU_Capacity_awaiting_additional_staffing_or_patient_transfer,Healthcare_Resource_Availability_Management,Get-Set_Care_Provider,Supports out of box,16,Procyon 15X,,Procyon,
Physical_Therapy,"Determine_the_diagnosis,_prognosis,_and_appropriate_treatment_plan_related_to_impairments,_disability_or_other_health-related_conditions_that_result_in_functional_limitations.",Intervention_Technique_Support,Get-Set_Intervention,Supports with configuration,44,Procyon 15X,,Procyon,
Intensive_Care,Deliver_the_full_spectrum_of_critical_care_medicine_(medical_and_surgical;_across_all_age_continuums_in_age_appropriate_manner),Intervention_Technique_Support,Get-Set_Intervention,Supports with configuration,44,Procyon 15X,,Procyon,
Intensive_Care,"Assess_patient_for_appropriateness_of_ICU_admission,_transfer_or_general_medical-surgical-pediatric_ward_admission",Intervention_Technique_Support,Get-Set_Intervention,Supports with configuration,44,Procyon 15X,,Procyon,
Intensive_Care,Surge_and_Expand_ICU_Capacity_awaiting_additional_staffing_or_patient_transfer,Healthcare_Resource_Availability_Management,Get-Set_Resource,Supports out of box,16,Procyon 15X,,Procyon,
Intensive_Care,Deliver_the_full_spectrum_of_critical_care_medicine_(medical_and_surgical;_across_all_age_continuums_in_age_appropriate_manner),Patient_Preventive_Service_Recommendation,Get_Preventative_Care_and_Wellness_Information,Supports out of box,16,Procyon 15X,,Procyon,
Intensive_Care,Completely_document_patient_care_delivered_and_have_information_included_in_patient_medical_record,Patient_Record_Management,MergePatientRecord,Supports out of box,16,Procyon 15X,,Procyon,
Intensive_Care,Surge_and_Expand_ICU_Capacity_awaiting_additional_staffing_or_patient_transfer,Patient_Record_Management,MergePatientRecord,Supports out of box,16,Procyon 15X,,Procyon,
Intensive_Care,Support_Research_and_Graduate_Medical_Education_(GME),Population_Health_Recommendation,Notify_External_Source,Supports with configuration,16,Procyon 15X,,Procyon,
Intensive_Care,Surge_and_Expand_ICU_Capacity_awaiting_additional_staffing_or_patient_transfer,Population_Health_Recommendation,Notify_External_Source,Supports with configuration,16,Procyon 15X,,Procyon,
Intensive_Care,Support_Research_and_Graduate_Medical_Education_(GME),Population_Health_Recommendation,Notify_Providers_and_Managers,Supports with configuration,32,Procyon 15X,,Procyon,
Intensive_Care,Surge_and_Expand_ICU_Capacity_awaiting_additional_staffing_or_patient_transfer,Population_Health_Recommendation,Notify_Providers_and_Managers,Supports with configuration,32,Procyon 15X,,Procyon,
Intensive_Care,Deliver_the_full_spectrum_of_critical_care_medicine_(medical_and_surgical;_across_all_age_continuums_in_age_appropriate_manner),Patient_Preventive_Service_Recommendation,Set_Alert_on_Preventative_Data_and_Wellness_Due_Date,Supports out of box,16,Procyon 15X,,Procyon,
Intensive_Care,Completely_document_patient_care_delivered_and_have_information_included_in_patient_medical_record,Access_Validation_and_Management,Validate_Certification_Token,Supports with configuration,32,Procyon 15X,,Procyon,
Intensive_Care,Support_Research_and_Graduate_Medical_Education_(GME),Credential_Validation,Validate_Certification_Token,Supports with configuration,32,Procyon 15X,,Procyon,
Intensive_Care,Ability_to_have_ongoing_Critical_Incident_Monitoring_and_Quality_Improvement,Medical_Education_Recommendation,Validate_Educational_Material,Supports with configuration,32,Procyon 15X,,Procyon,
