Capability,Task,TechRequirement,TechStandard,SupportLevel,CustomizationEffort,System,Comments,Vendor,C:\Users\ksmart\workspace64bit\SEMOSS\db\VendorSelection\TechRequirement.prop
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Ability_to_support_single-tenant_and_multi-tenant_models_for_deployment,,Supports with configuration,72,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Ability_to_support_various_workflow_patterns_such_as_scatter_gather_etc.,,Supports with configuration,72,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Atomic_Rule_Level_management_capability_-_development_and_deployment_(script_or_data),,Supports with configuration,72,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,"Customization_capabilities_(via_GUI_functions,_configurability,_Administration)",,Supports with configuration,72,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,"Customization_capabilities_(via_custom_coding,_scripting)",,Supports with configuration,72,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,"Delivery_of_reports_(email,_FTP,_etc.)",,Supports with configuration,72,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,GUI_or_wizard_for_rule_display_-_development_-_debugging_-_deployment,,Supports with configuration,72,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Inbuit_Creation_capabilities_for_Ad_hoc_reports,,Supports with configuration,72,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Maintain_availability_of_distributed_data,,Supports with configuration,72,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Maintain_consistency_of_distributed_data,,Supports with configuration,72,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Modularized_architecture_that_can_be_provisioned_in_a_rip_and_replace_fashion,,Supports with configuration,72,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,"Object_oriented_rules_definition_capabilities_(inheritance,_etc.)",,Supports with configuration,72,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,"Online,_Offline,_and_Mobile_Access",,Supports with configuration,72,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Parallel_and_multi-threaded_execution_Capabilities,,Supports with configuration,72,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,"Presentation_capabilities_for_reports_(web,_Excel,_PDF,_etc.)",,Supports with configuration,72,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Rules_system_Integration_with_workflow_(if_distinct_products_or_hardwired),,Supports with configuration,72,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Shall_expose_business_logic_as_a_service,OASIS_WS-BPEL_v2.0,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,"Shall_support_Event-driven,_or_Notification-based,_interaction_pattern_for_web_service_interaction",OASIS_WS-BrokeredNotification_1.3,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,"Shall_support_Event-driven,_or_Notification-based,_interaction_pattern_for_web_service_interaction",W3C_WS-Eventing,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,"Shall_support_Event-driven,_or_Notification-based,_interaction_pattern_for_web_service_interaction",OASIS_WS-BaseNotification_1.3,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Shall_support_Network_Attached_Storage_(NAS)_for_storage,,Supports with configuration,72,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Shall_support_Simple_Object_Access_Protocol_(SOAP)_based_web_services,W3C_SOAP_1.2_Part_1,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Shall_support_Simple_Object_Access_Protocol_(SOAP)_based_web_services,W3C_SOAP_1.2_Part_2,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Shall_support_Storage_Area_Network_(SAN)_for_storage,ANSI_INCITS_Fibre_Channel,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Shall_support_Storage_Area_Network_(SAN)_for_storage,IETF_RFC_3720,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Shall_support_business_activity_interoperability_across_trust_boundaries_by_supporting_aggregration_and_correlation_of_services,OASIS_WS-BusinessActivity_1.1,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Shall_support_web_services_choreography,W3C_WS-Choreography,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Support_emerging_open_data_standards_to_be_able_to_discover_and_intergrate_with_external_data_feeds_and_data_sources,,Supports with configuration,72,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Support_for_collaboration_between_users,,Supports with configuration,72,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Support_for_integrating_to_3rd_party_Business_Intelligence_and_reporting_tools_(through_data_model),,Supports with configuration,72,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,"Supports_ODBC-JDBC_and_native_connectivity_standards_for_Oracle,_SQL_Server,_UDB",,Supports with configuration,72,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Supports_computer_telephony_integration,,Supports with configuration,72,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Visual_utility_to_map_from_one_format_of_data_to_another_format_of_data,,Supports with configuration,72,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Ability_for_decision_support_and_planning_by_analyzing_information_and_predicting_the_impact_of_decisions_before_they_are_made,,Supports with configuration,72,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Ability_for_demand_forecasting_and_management_to_facilitate_efficient_allocation_and_management_of_resources,,Supports with configuration,72,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Ability_to_accept_CAC_-_PIV_as_the_authentication_mechanism,FIPS_Pub_186-3,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Ability_to_accept_CAC_-_PIV_as_the_authentication_mechanism,FIPS_Pub_201-1,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Ability_to_accept_CAC_-_PIV_as_the_authentication_mechanism,ITU-T_X.509:2005,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Ability_to_accept_CAC_-_PIV_as_the_authentication_mechanism,IETF_RFC_2560,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Ability_to_accept_CAC_-_PIV_as_the_authentication_mechanism,IETF_RFC_4552,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Ability_to_accept_CAC_-_PIV_as_the_authentication_mechanism,IETF_RFC_5280,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Ability_to_access_the_same_user_interface_while_being_offline,,Supports with configuration,72,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients","Ability_to_adopt_a_Single_Sign-on_configurability_and_capabilites_(integration_to_LDAP,_Siteminder,_AD)",IETF_RFC_4104,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients","Ability_to_adopt_a_Single_Sign-on_configurability_and_capabilites_(integration_to_LDAP,_Siteminder,_AD)",IETF_RFC_4510,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients","Ability_to_adopt_a_Single_Sign-on_configurability_and_capabilites_(integration_to_LDAP,_Siteminder,_AD)",IETF_RFC_4523,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients","Ability_to_adopt_a_Single_Sign-on_configurability_and_capabilites_(integration_to_LDAP,_Siteminder,_AD)",FIPS_Pub_201-1,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients","Ability_to_adopt_a_Single_Sign-on_configurability_and_capabilites_(integration_to_LDAP,_Siteminder,_AD)",IETF_RFC_2589,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Ability_to_aminister_a_workflow_and_manage_the_state_of_workflow_through_a_user_interface,,Supports with configuration,72,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Ability_to_analyze_and_query_data_using_natural_language_processing_(NLP),OASIS_UIMA_1.0,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Ability_to_analyze_and_query_data_using_natural_language_processing_(NLP),UMLS,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients","Ability_to_analyze_and_resport_statistics_on_business_issues,_problems_and_solutions",,Supports with configuration,72,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Ability_to_associate_roles_to_various_steps_on_the_workflow_-_tasks_on_workflow,,Supports with configuration,72,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Ability_to_backup_log_files_to_a_local_file_media_-_remote_file_media_through_HTTP_type_protocol,,Supports with configuration,72,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Ability_to_capture_users_performing_operations_on_the_system_including_and_not_limited_to_CRUD,,Supports with configuration,72,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Ability_to_consume_SOA_Services_as_steps_inside_the_workflow,,Supports with configuration,72,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Ability_to_consume_physical_enterprise_roles,,Supports with configuration,72,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Ability_to_create_custom_reports_that_show_the_user_access_patterns,,Supports with configuration,72,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Ability_to_create_reports_based_on_workflow_usage,,Supports with configuration,72,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Ability_to_customize_the_workflow_declaratively_through_a_UI,,Supports with configuration,72,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Ability_to_define_logical_roles_in_the_system,ANSI-HL7_V2.5.1,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Ability_to_define_logical_roles_in_the_system,ANSI-INCITS_359-2004,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Ability_to_display_conflicts_when_the_synchronization_happens,,Supports with configuration,72,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Ability_to_do_shallow_validations_through_javascript_while_offline,,Supports with configuration,72,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Ability_to_embed_other_master_data_management_tools_through_a_pluggable_architecture,,Supports with configuration,72,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Ability_to_embed_the_vendor_user_interface_into_a_mashup,,Supports with configuration,72,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Ability_to_exchange_data_using__Asynchronous_Request-Response_exchange_pattern,,Supports with configuration,72,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Ability_to_exhange_data_using_Synchronous_Request-Response_exchange_pattern,,Supports with configuration,72,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Ability_to_express_domain_models_using_Web_Ontology_Language_(OWL),OWL,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Ability_to_facilitate_multiple_levels_of_logging_that_can_be_adjusted_without_restart_of_the_system,,Supports with configuration,72,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Ability_to_identify_the_user_either_based_on_username-password_or_the_X.509_certificate,,Supports with configuration,72,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Ability_to_incorporate_custom_rules_for_data_quality_management,,Supports with configuration,72,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Ability_to_integrate_with_a_content_management_system_for_rich_media,,Supports with configuration,72,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Ability_to_locate_data_assets_through_a_consistent_and_flexible_search,DDMS_4.1,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Ability_to_map_different_data_formats_into_the_product_format,,Supports with configuration,72,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Ability_to_modify_the_data_while_offline,,Supports with configuration,72,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Ability_to_offboard_users_from_the_system,,Supports with configuration,72,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Ability_to_onboard_new_users_in_the_systems,,Supports with configuration,72,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Ability_to_onboard_the_workflow_into_a_COTS_workflow_tool,,Supports with configuration,72,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Ability_to_orient_the_fields_based_on_user_preferences_i.e._move_the_fields_around,,Supports with configuration,72,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Ability_to_participate_in_context_management,,Supports with configuration,72,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Ability_to_personalize_UI_to_individual_user_needs,,Supports with configuration,72,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Ability_to_present_data-information_in_a_graphical_or_picture_form,,Supports with configuration,72,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Ability_to_provide_end_to_end_view_of_a_user_operation_from_the_point_the_user_entered_the_system_to_the_point_where_the_user_left_the_system,,Supports with configuration,72,Procyon 15X,,Procyon,
