Capability,Task,BusinessRule,SLA,SupportLevel,CustomizationEffort,System,Comments,Vendor,C:\Users\ksmart\workspace64bit\SEMOSS\db\VendorSelection\BusinessRule.prop
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,A_process_is_in_place_to_ensure_that_the_case_manager_continually_assesses_and_monitors_the_severely_ill_or_injured_warfighter?s_and_their_family_member(s)-caregiver(s)?_response_and_adherence_to_treatments_95%_of_the_time,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,"Address_a_full_spectrum_of_intervention_strategies_to_prevent_and_mitigate_ocular_injury_or_vision_loss_from_hazardous_exposures._This_should_include,_but_is_not_limited_to:_training_of_vision_professionals,_medical_surveillance,_education_of_exposed_population,_and_intervention_through_engineering-administrative_controls_or_vision_protective_devices._The_provider_incorporates_the_full_scope_of_skills_and_talents_in_accordance_with_DA_PAM_600-4_(10-4)",,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Address_full_spectrum_of_patients_needs:_95%_of_patient_and_rehab_team_identified_goals_are_addressed_and_accomplished,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,"Addresses_a_full_spectrum_of_intervention_strategies_to_prevent_and_mitigate_noise-induced_hearing_loss_from_hazardous_noise_exposures._This_should_include,_but_is_not_limited_to:_training_of_hearing_professionals,_medical_surveillance,_education_of_noise-exposed_population,_and_intervention_through_engineering-administrative_controls_or_hearing_protective_devices.",,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,"Addresses_full_spectrum_of_intervention_strategies_including_health_promotion_and_prevention,_deficit_remediation-restoration,_performance_maintenance,_compensation-adaptation_to_long_term_impairments,_and_disability_prevention",,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,"Administer_a_comprehensive_and_appropriate_battery_of_audiological_tests_to_arrive_at_the_proper_diagnosis,_prognosis,_and_to_establish_an_appropriate_treatment_plan.",,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,"Administer_a_comprehensive_and_appropriate_battery_of_ocular_health_assessment_and_visual_function_tests_to_arrive_at_the_proper_diagnosis,_prognosis,_and_to_establish_an_appropriate_treatment_plan._The_provider_incorporates_the_full_scope_of_skills_and_talents_in_accordance_with_DA_PAM_600-4_(10-4)",,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,"All_contributing_elements;_patients,_family,_staff_and_other_stakeholders_are_included_in_planning_99%_of_time",,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,All_elements_required_for_burn_care_shall_be_available_within_the_MHS_at_the_appropriate_time_and_taxonomy_of_care,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,"All_relevant_factors,_issues_and_capabilities_are_considered_95%_of_the_time_prior_to_closure",,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,All_relevant_factors_and_issues_assessed_90%_of_time,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,"All_workers_assigned_to_an_occupational_health_monitoring_protocol_receive_the_prescribed_examinations,_studies,_labs_etc._in_the_time_frames_specified_by_the_protocol.",,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Appropriate_care_or_restoration_provided_95%_of_the_time,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Appropriate_care_or_restoration_provided_95%_of_time.,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Appropriate_surgical_care_provided_99%_of_time.,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Assessment_must_include_all_assessment_categories_95%_of_the_time,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,"Assigned_personnel_are_trained_(including_appropriate_certification)_to_provide_planned_emergency_care,_treatment,_and_services.",,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Case_File_contains_all_relevant_documentation_and_required_elements_to_allow_proper_processing_and_service_continuation_determination_by_the_PEB_100%_of_cases,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,"Case_Files_include_all_required_elements,_proper_reviews_by_physicians_and_counseling_of_service_members,_and_are_accepted_95%_of_cases",,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,"Demographic_information_will_be_collected_and_updated_on_both_active_duty,_retirees,_and_their_dependents_who_use_military_health_services.",,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,DoD_EMS_programs_will_be_provided_central_oversight_for_maintenance_of_standards.,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,"Documentation_must_include_provider,_system_performance,_and_patient_information.",,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Each_data_element_includes_all_relevant_information,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Each_data_element_includes_all_relevant_information.,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,"Ensure_that_clinical_practice_standards_are_developed_that_ensure_certified_and_licensed_professionals_are_involved_in_the_care_of_the_patient_and_include,_but_not_limited_to,_audiologists,_otologists-otolaryngologists,_hearing_technicians,_and_other_disciplines_such_as_speech_pathologists,_physical_therapists,_and_occupational_therapists.",,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Full_scope_as_it_impacts_the_continuum_of_care_for_follow-up_and_patient_action,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Incorporates_all_aspects_of_rehabilitation_and_reintegration,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Individual_treatment_plans_will_address_all_aspects_of_the_Soldier?s-patient?s_functional_rehabilitation_goals.,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Individual_treatment_plans_will_address_all_aspects_of_the_Soldier?s-patient?s_functional_rehabilitation_goals._The_optometrist_incorporates_the_full_scope_of_skills_and_talents_in_accordance_with_DA_PAM_600-4_(10-4),,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Individualized_treatment_plans_will_address_all_aspects_of_the_Soldier?s-patient?s_functional_rehabilitation_goals.,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,"Intervention_includes_assessing_client_needs,_planning_and_implementing_occupational_therapy_services_and_reassessing_impact",,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,"Intervention_involves_therapeutic_use_of_self,_activities,_and_occupations,_as_well_as_consultation_and_education",,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Maintain_appropriate_medical_professional_staffing_based_upon_historical_and_expected_workload,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,"Maintain_the_capability_to_evaluate_all_categories_of_patients,_make_recommendations_and_provide_access_to_all_therapeutic_radiation_modalities",,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,"Maintain_the_capability_to_evaluate_all_categories_of_patients,_make_recommendations_and_provide_access_to_resuscitative_equipment,_supplies_and_emerging_technologies",,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,"Maintain_the_capability_to_evaluate_all_categories_of_patients,_make_recommendations_and_provide_analysis_of_results_in_the_areas_of_chemistry,_hematology,_microbiology,_pathology,",,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Maintain_the_capability_to_evaluate_all_species_of_animals_needs_to_support_military_mission_which_includes_staff_qualification_and_certification,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,"Maintain_the_capability_to_evaluate_the_unique_testing,_reporting,_and_analytic_needs_to_support_environmental_testing_and_industrial_hygiene_related_to_MHS_mission",,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,"Maintain_the_capability_to_provide_examination_of_and_analysis_from_radiology_testing_to_include_all_modalities_of_care_(plain_films,_CT_Scan,_MRI,_Ultrasound,_PET_scan,_Nuclear_Medicine_Imaging)_for_both_medical_and_dental_needs",,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Manage_the_patients?_medication_history._Manage_medication_regimens_for_complex_and_high_risk_inpatients._Manage_medication_therapy_in_collaboration_with_other_health-care_members.,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Medication_formulary_to_meet_the_scope_of_practice_at_the_individual_MTF,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,"Multi-system_examination_and_evaluation,_and_testing_of_physical_limitations._Request_appropriate_imaging_studies,_and_diagnostic_laboratory_studies_to_further_assess_clinical_findings._Implement_a_treatment_plan_directing_acute_interventions_towards_functional_reintegration.",,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Must_comply_with_requirements_specified_for_each_program,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,"Occupational_Rehabilitation_practitioners_will_be_licensed_professionals_(including_but_not_limited_to_Occupational_Therapy_practitioners;_Occupational_Medicine_physicians;_Physical_Therapy_practitioners,_Vocational_Rehabilitation_consultants)",,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,"Personnel_mix,_organization,_and_training_allows_patients_to_receive_needed_care_for_their_physical_and_psychological_health_99%_of_the_time",,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,"Pharmacists_and_technicians_adequately_trained_in_sterile_products_preparation,_prescription_dispensing,_controlled_substance_accountability,_and_ordering-maintaining_supplies",,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Plan_of_Care_documentation_reflects_review_and_agreement_by_patient_and_PCM.,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Plans_and_policies_address_how_organizations_integrate_with_other_organizations_and_support_planned_affected_populations_with_acute_and_routine_care_for_the_planned_Populations_at_Risk.,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,"Relevant_risk_behavior_data_from_periodic_health_assessments_(PHAs)_and_environmental_exposures_identified_by_environmental_risk_evaluations_will_be_available_at_all_levels_within_the_military_health_system,_to_appropriately_and_accurately_plan_and_resource_immunization_programs.",,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Risk_factors_evaluated_at_100%_of_exams.,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Risk_factors_evaluated_at_99%_of_annual_exams,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Risk_factors_evaluated_at_99%_of_exams.,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Team_covers_the_spectrum_of_care_from_initial_involvement_to_long-term_healthcare,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,"The_plan_is_such_that_it_enhances_quality,_access_and_cost-effective_outcomes_95%_of_the_time",,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,All_aspects_of_burn_care_will_be_coordinated_with_care_for_all_other_traumatic_conditions_or_concurrent_disease,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,All_stakeholders_are_involved_in_review_of_processes_to_improve_clinical_processes,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Counseling_services_are_coordinated_between-among_all_required_stakeholders_95%_of_the_time,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Counseling_services_are_coordinated_with_all_required_stakeholders_95%_of_the_time,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Documentation_reflects_timely_and_appropriate_provision_of_services.,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,ED_care_will_be_coordinated_with_Primary_Care_Manager,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,"Ensure_synchronization_of_clinical_and_research_best_practices_across_disciplines_(i.e._audiology,_otology-otolaryngology,_speech_pathology,_physical_therapy,_occupational_therapy,_neurology)_to_maximize_positive_outcomes.",,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,"Ergonomic_strategies,_policies,_and_programs_incorporate_all_appropriate_healthcare_providers_and_support_personnel_100%_of_the_time",,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,"Ergonomic_strategies,_policies,_and_programs_will_incorporate_all_appropriate_healthcare_providers_and_support_personnel_100%_of_the_time",,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Established_by_and_addressed_by_a_multidisciplinary_treatment_team_100%_of_time,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Established_by_and_addressed_by_a_multidisciplinary_treatment_team_providing_an_evidence-based_multi-_modal_approach_to_care,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,"Facilitates_coordinate_functioning_in_order_to_achieve_clinical_goals,_maximize_efficiency_and_control_costs",,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Healthcare_team_works_in_seamless_fashion_with_information_awareness,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Incorporates_all_appropriate_healthcare_providers_and_support_personnel_99%_of_the_time,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Information,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,"Locations_of_?specialty?_services,_points_of_contact_and_hospitals_including_trauma,_burn,_pediatric,_cardiac,_stroke,_psychiatric_and_hyperbaric_must_be_maintained_and_integrated_into_the_Installations_medical_treatment_and_disaster_response_systems.",,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Operations_necessary_to_initiate_transport_are_linked_and_synchronous_with_a_focused_effort_and_unified_purpose_99%_of_time,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Patient_and_population_needs_are_established_and_addressed_by_a_multidisciplinary_treatment_team,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Plan_of_Care_documented_in_within_30_days_of_assessment.,Plan_of_Care_documented_within_30_days,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Plans_of_care_are_coordinated_between-among_all_required_stakeholders_99%_of_the_time,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Plans_of_care_are_developed_with_input_of_all_required_stakeholders_95%_of_the_time,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Plans_of_care_are_implemented_with_coordination_of_all_required_stakeholders_95%_of_the_time,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Prevention-Wellness_and_Psychological_Health_metrics,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Programs_are_developed_with_collaboration_between_multiple_disciplines_and_leadership_in_healthcare_setting,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,"Promote_knowledge_of_and_communication_with_military_and_community_organizations_and_military,_legal,_economic_and_political_systems_that_impact_individual_and_family",,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Referral_for_screening_and_assessment_and_reporting_of_outcomes_completed_90%,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,"Service_Medical_Departments_will_maintain_overall_coordination,_quality_assurance_and_training_protocols_for_all_personnel_involved_with_EMS_response.",,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,"Surgeon,_anesthesia_provider,_perioperative_nurse_and_technicians_work_as_a_team_with_excellent_communication_across_the_system",,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,"Surgeon,_anesthesia_provider_and_perioperative_nurse_work_as_a_team_with_excellent_communication_across_the_system.",,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,Synchronization_of_inter-disciplinary_clinical_skills_with_technological_assets_to_maximize_physical_function_in_discharge_environment.,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,"Systems_are_acquired_in_a_manner_that_facilitates_coordinated_functioning_in_order_to_achieve_clinical_goals,_maximize_efficiency_and_control_costs",,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,Coordinate_all_medical_and_therapeutic_services,"The_In_Patient_healthcare_team_communicates_in_multiple_modalities_with_patients,_families,_other_healthcare_providers_and_administrators._Patient-centered_care_requires_that_physicians_and_members_of_multidisciplinary_teams_effectively_inform,_educate,_reassure,_and_empower_patients_and_families_to_participate_in_the_creation_of_a_care_plan",,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",100%_of_personnel_will_be_scheduled_pre-deployment.,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",100%_of_those_with_an_approved_requirement_for_registry_access_have_access,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients","100%_of_time-the_DoD_RM_module_of_CCQAS_will_be_utilized_for_documenting_and_managing_all_PCEs,_including_all_medical_malpractice_claims_and_also_cases_of_substandard_care_which_result_in_service_member_death_and_disability.",100%_of_time-the_DoD_RM_module_of_CCQAS_will_be_utilized,Supports out of box,16,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",A_copy_of_the_Patient_Care_Report_(PCR)_must_be_delivered_to_the_hospital_to_become_a_part_of_the_patient?s_medical_record.,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",A_copy_of_the_Patient_Care_Report_(PCR)_must_be_made_available_to_the_DoD_for_Quality_Assurance_purposes.,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Access_to_care_is_maximal,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients","All_Wounded,_Injured,_Ill_Service_members_will_be_expected_to_participate_in_an_adaptive_physical_fitness_program_within_their_ability_level",,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients","All_active_duty_are_provided_military_medical_care_where_available._When_resources_permit,_civilian_employees_may_elect_care_either_from_a_military_source_or_through_resources_in_the_civilian_community.",,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Appropriately_trained_staff_above_local_level_will_be_available_for_consultation,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Availability_95%_of_time.,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Complete_a_comprehensive_eye_exam_IAW_established_clinical_practice_guidelines_and_professional_clinical_practice_standards_upon_referral_or_upon_identification_of_an_at-risk_person_as_found_through_medical_surveillance.,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Complete_an_audiological_test_battery_by_audiologist_IAW_established_clinical_practice_guidelines_and_professional_clinical_practice_standards_upon_referral_and-or_upon_identification_of_an_at-risk_person_as_found_through_medical_surveillance.,,Supports with configuration,48,Procyon 15X,,Procyon,
Amputee_Care,"Establish_a_registry_for_limb_loss,_limb_at_risk_and_limb_salvage_patients",Complete_baseline_Physical_Therapy_evaluation_by_Physical_Therapist_IAW_established_Clinical_Practice_Guidelines_and_professional_clinical_practice_standards.,,Supports with configuration,48,Procyon 15X,,Procyon,
