Vendor,Capability,Task,SupportLevel,CustomizationEffort,System,Comments,C:/Users/pkapaleeswaran/workspacej2/FoxHole/db/VendorSelection/Task.prop
Vendor7,Inpatient Diagnostic Services,Provide patient with post diagnostic test instructions,Does Not Support,0,,,
Vendor7,Inpatient Diagnostic Services,Recover Patient,Does Not Support,0,,,
Vendor7,Inpatient Non-surgical Treatment,Ability to have ongoing Critical Incident Monitoring and Quality Improvement,Does Not Support,0,,,
Vendor7,Inpatient Non-surgical Treatment,Assess patient for appropriateness of admission,Does Not Support,0,,,
Vendor7,Inpatient Non-surgical Treatment,Completely document patient care delivered and have information included in patient medical record,Does Not Support,0,,,
Vendor7,Inpatient Non-surgical Treatment,Evaluate and implement as appropriate advanced technologies and evidenced based medicine,Does Not Support,0,,,
Vendor7,Inpatient Non-surgical Treatment,Manage the clinical problems of hospitalized patients.,Does Not Support,0,,,
Vendor7,Inpatient Non-surgical Treatment,Sufficient Patient Volume,Does Not Support,0,,,
Vendor7,Inpatient Non-surgical Treatment,Support Research and Graduate Medical Education (GME),Does Not Support,0,,,
Vendor7,Inpatient Non-surgical Treatment,Surge and Expand Capacity awaiting additional staffing or patient transfer,Does Not Support,0,,,
Vendor7,Intensive Care,Ability to have ongoing Critical Incident Monitoring and Quality Improvement,Does Not Support,0,,,
Vendor7,Intensive Care,"Assess patient for appropriateness of ICU admission, transfer or general medical-surgical-pediatric ward admission",Does Not Support,0,,,
Vendor7,Intensive Care,Completely document patient care delivered and have information included in patient medical record,Does Not Support,0,,,
Vendor7,Intensive Care,Deliver the full spectrum of critical care medicine (medical and surgical; across all age continuums in age appropriate manner),Does Not Support,0,,,
Vendor7,Intensive Care,Evaluate and implement as appropriate advanced Technologies to best preserve life and limb.,Does Not Support,0,,,
Vendor7,Intensive Care,Sufficient Patient Volume,Does Not Support,0,,,
Vendor7,Intensive Care,Support Research and Graduate Medical Education (GME),Does Not Support,0,,,
Vendor7,Intensive Care,Surge and Expand ICU Capacity awaiting additional staffing or patient transfer,Does Not Support,0,,,
Vendor7,Laboratory Diagnostic Services,Implement Advanced Technologies,Does Not Support,0,,,
Vendor7,Laboratory Diagnostic Services,Provide Support for Environment Testing,Does Not Support,0,,,
Vendor7,Laboratory Diagnostic Services,Provide Support for Human Specimen Source,Does Not Support,0,,,
Vendor7,Laboratory Diagnostic Services,Provide Support for Veterinary Specimen Sources,Does Not Support,0,,,
Vendor7,Laboratory Diagnostic Services,Support Research,Does Not Support,0,,,
Vendor7,Manage Patient Movement Items,Interface within the patient movement request (PMR),Does Not Support,0,,,
Vendor7,Manage Patient Movement Items,"Procure, sustain and maintain PMI",Does Not Support,0,,,
Vendor7,Medical Logistics: Medical Equipment & Technology Operational Tasks ,Provide the total life cycle management of medical equipment,Does Not Support,0,,,
Vendor7,Medical Logistics Management,Coordinate the distribution of medical materiel in the JOA,Does Not Support,0,,,
Vendor7,Medical Logistics Management,Health services contract management,Does Not Support,0,,,
Vendor7,Medical Logistics Management,Manage biomedical maintenance,Does Not Support,0,,,
Vendor7,Medical Logistics Management,Manage medical facilities,Does Not Support,0,,,
Vendor7,Medical Logistics Management,Manage optical fabrication and repair,Does Not Support,0,,,
Vendor7,Medical Logistics Management,Manage the Class VIII-A materiel,Does Not Support,0,,,
Vendor7,Medical Logistics Management,Manage the Class VIII-B materiel throughout end-to-end supply chain,Does Not Support,0,,,
Vendor7,Medical Logistics Management,Management of medical waste,Does Not Support,0,,,
Vendor7,Medical Logistics Management,Measure and assess performance of medical logistics,Does Not Support,0,,,
Vendor7,Medical Logistics Management,Provision and management of standardized medical equipment,Does Not Support,0,,,
Vendor7,Medical Logistics Management,Provision of hazardous material including medical gasses,Does Not Support,0,,,
Vendor7,Medical Logistics Management,Take action to address performance deficiencies,Does Not Support,0,,,
Vendor7,Medical Logistics Management,Technology,Does Not Support,0,,,
Vendor7,Medical Logistics: Medical Maintenance Operational Tasks ,Manage Biomedical Maintenance,Does Not Support,0,,,
Vendor7,Medical Logistics: Medical Materiel Operational Tasks ,Coordinate the distribution of Medical Materiel in the JOA,Does Not Support,0,,,
Vendor7,Medical Logistics: Medical Materiel Operational Tasks ,Manage Class VIII-A Materiel,Does Not Support,0,,,
Vendor7,Medical Support to Disability Evaluation,Case review and referral into the DES and the creation of a case file.,Out of Box with Configuration,0,,,
Vendor7,Medical Support to Disability Evaluation,Disability medical evaluation,Out of Box with Configuration,0,,,
Vendor7,Medical Support to Disability Evaluation,Education and Training,Out of Box with Configuration,0,,,
Vendor7,Medical Support to Disability Evaluation,MEB Narrative Summary Creation & MEB disposition,Out of Box with Configuration,0,,,
Vendor7,Medical Support to Disability Evaluation,MEB case file completion,Out of Box with Configuration,0,,,
Vendor7,Medical Support to Disability Evaluation,MEB case rebuttal and impartial provider review,Out of Box with Configuration,0,,,
Vendor7,Medical Support to Disability Evaluation,Networked Information Transfer,Out of Box with Configuration,0,,,
Vendor7,Medical Support to Disability Evaluation,Security of Personal Health Information,Out of Box,0,,,
Vendor7,Medical Support to Disability Evaluation,Service Member Counseling,Out of Box with Configuration,0,,,
Vendor7,Medical Support to Disability Evaluation,"Transfer the case file to the PEB and serve as a liaison between the PEB, MTF and the SM.",Out of Box with Configuration,0,,,
Vendor7,Mental Healthcare,Documentation,Out of Box,0,,,
Vendor7,Mental Healthcare,Early Intervention,Out of Box with Configuration,0,,,
Vendor7,Mental Healthcare,Prevention,Out of Box with Configuration,0,,,
Vendor7,Mental Healthcare,Professional and Ethical Responsibilities,Does Not Support,0,,,
Vendor7,Mental Healthcare,Service Coordination,Out of Box with Configuration,0,,,
Vendor7,Mental Healthcare,Treatment Methods,Out of Box,0,,,
Vendor7,Mental Healthcare,Treatment Planning,Out of Box,0,,,
Vendor7,Non-Emergency Medical Transportation,Conduct patient departure- reception activities,Out of Box with Configuration,0,,,
Vendor7,Non-Emergency Medical Transportation,Coordinate patient movement,Out of Box with Customization,0,,,
Vendor7,Non-Emergency Medical Transportation,Develop patient transport plan,Out of Box with Customization,0,,,
Vendor7,Non-Emergency Medical Transportation,Document patient care delivered,Out of Box,0,,,
Vendor7,Non-Emergency Medical Transportation,Provide Enroute care,Out of Box,0,,,
Vendor7,Non-Emergency Medical Transportation,Provide patient transport,Out of Box with Customization,0,,,
Vendor7,Non-Emergency Medical Transportation,Validate administrative preparation for transport,Out of Box with Customization,0,,,
Vendor7,Occupational Health Services,Determine Causality,Out of Box with Configuration,0,,,
Vendor7,Occupational Health Services,Execute Occupational Health Medical Surveillance Program,Out of Box with Configuration,0,,,
Vendor7,Occupational Health Services,"Maintain Current understanding of laws, medicine, official policy",Out of Box with Configuration,0,,,
Vendor7,Occupational Health Services,Match worker physical and mental capabilities to job requirements,Out of Box with Customization,0,,,
Vendor7,Occupational Health Services,Protect workers‘ Reproductive Health,Out of Box with Configuration,0,,,
Vendor7,Occupational Health Services,Provide Medical Care,Out of Box,0,,,
Vendor7,Occupational Health Services,Provide Occupational Environmental Medicine Consultation,Does Not Support,0,,,
Vendor7,Occupational Health Services,Support Other mission essential and mission enhancing programs,Out of Box with Configuration,0,,,
Vendor7,Occupational Rehabilitation,Develop standardized military occupational rehabilitation model,Out of Box with Configuration,0,,,
Vendor7,Occupational Rehabilitation,Facilitate community integration & participation in work roles,Out of Box with Configuration,0,,,
Vendor7,Occupational Rehabilitation,Facilitate return-to-duty or work-volunteer activities in the civilian community,Out of Box with Configuration,0,,,
Vendor7,Occupational Rehabilitation,"Match worker physical, cognitive, social, and behavioral capabilities to job requirements",Out of Box with Configuration,0,,,
Vendor7,Occupational Rehabilitation,Minimize work related injury and impairment,Does Not Support,0,,,
Vendor7,Occupational Therapy,"Facilitate cognitive, psychological & social coping - adaptation skills",Out of Box with Configuration,0,,,
Vendor7,Occupational Therapy,Facilitate community integration & participation in life roles,Out of Box with Configuration,0,,,
Vendor7,Occupational Therapy,Facilitate return-to-duty or work in the civilian community,Out of Box with Configuration,0,,,
Vendor7,Occupational Therapy,Maximize functional independence and performance,Out of Box with Configuration,0,,,
Vendor7,Occupational Therapy,Minimize injury and impairment,Does Not Support,0,,,
Vendor7,Optical,Manage Optical Fabrication and Repair,Does Not Support,0,,,
Vendor7,Partnership Development Operational Tasks,Partner and Collaborate with Academia and Research Institutes,Out of Box with Configuration,0,,,
Vendor7,Partnership Development Operational Tasks,Partner and Collaborate with Industry Leaders,Does Not Support,0,,,
Vendor7,Partnership Development Operational Tasks,Partner and Collaborate with Other Federal Agencies,Does Not Support,0,,,
Vendor7,Partnership Development Operational Tasks,"Partner with established Health Care Contract Partners, particularly Managed Care Support Contractors",Does Not Support,0,,,
Vendor7,Patient Safety,Assess staff‘s opinion of facility‘s patient safety culture,Does Not Support,0,,,
Vendor7,Patient Safety,Implement tools &-or programs to improve safety,Does Not Support,0,,,
Vendor7,Patient Safety,MTFs shall actively identify Sentinel Events that occur in these facilities,Does Not Support,0,,,
Vendor7,Patient Safety,MTFs shall identify and report actual and potential patient safety problems in medical systems,Does Not Support,0,,,
Vendor7,Patient Safety,Measure safety performance over time,Does Not Support,0,,,
Vendor7,Patient Safety,Perform Root Cause Analysis of Performance Data when appropriate,Does Not Support,0,,,
Vendor7,Patient Safety,Select a patient safety improvement model,Does Not Support,0,,,
Vendor7,Pharmacy Services,"Dispensing Outpatient Medication and Inpatient Medications, to include sterile and bulk compounding",Does Not Support,0,,,
Vendor7,Pharmacy Services,Electronic prescription data integrity,Out of Box,0,,,
Vendor7,Pharmacy Services,Ensure patients achieve the best use of medication,Does Not Support,0,,,
Vendor7,Pharmacy Services,Formulary Management,Out of Box,0,,,
Vendor7,Pharmacy Services,"Medication distribution to clinics, hospital wards, and medical units",Does Not Support,0,,,
Vendor7,Pharmacy Services,Order pharmaceuticals and supplies and inventory management,Does Not Support,0,,,
Vendor7,Pharmacy Services,Pharmacy law and regulations,Does Not Support,0,,,
Vendor7,Pharmacy Services,Provide process improvement of pharmacy care and pharmacy services,Does Not Support,0,,,
Vendor7,Pharmacy Services,Support global operational forces,Does Not Support,0,,,
Vendor7,Physical Therapy,"Determine the diagnosis, prognosis, and appropriate treatment plan related to impairments, disability or other health-related conditions that result in functional limitations.",Out of Box,0,,,
Vendor7,Physical Therapy,Facilitate return to duty or physical independence in the civilian community.,Does Not Support,0,,,
Vendor7,Physical Therapy,Maximize physical rehabilitation.,Does Not Support,0,,,
Vendor7,Physical Therapy,"Prevent injury, impairment, functional limitation, and disability and optimize human performance",Out of Box,0,,,
Vendor7,Physical Therapy,Promote standardized clinical practice models.,Out of Box with Configuration,0,,,
Vendor7,Preventive Dentistry Services,Assess Risk Factors,Out of Box,0,,,
Vendor7,Preventive Dentistry Services,Manage Oral Disease-Injury,Out of Box,0,,,
Vendor7,Preventive Dentistry Services,Provide Appropriate Preventive Measures,Out of Box,0,,,
Vendor7,Routine Ambulatory Care (Medical): Primary Care,Delivery of Patient Care that Addresses the Full Spectrum of Biopsychosocial Needs of an Individual (Pediatric- Geriatrics),Out of Box,0,,,
Vendor7,Routine Ambulatory Care (Medical): Primary Care,Document and Archive Data to Enhance Continuity of Care and Promote Ongoing Review and Analysis,Out of Box with Configuration,0,,,
Vendor7,Routine Ambulatory Care (Medical): Primary Care,Multidisciplinary Teams Reflecting Clinical Requirements of a Local Patient Population‘s Needs,Out of Box,0,,,
Vendor7,Routine Ambulatory Care (Medical): Primary Care,"Provide High Quality Evidence Based Medicine to Patients for the Evaluation, Screening, Diagnosing, and Treatment of Illness and Injury",Out of Box,0,,,
Vendor7,Provide Military Working Animal Care,Provide veterinary services,Does Not Support,0,,,
Vendor7,Provide for Medical Countermeasures,Expeditionary immunizations,Out of Box,0,,,
Vendor7,Provide for Medical Countermeasures,Integrate medical-OEH intelligence products into the intelligence preparation of the battlespace (IPB),Does Not Support,0,,,
Vendor7,Provide for Medical Countermeasures,Provide for immuno-and chemoprophylaxis,Does Not Support,0,,,
Vendor7,Provide for Medical Countermeasures,Provide for preventive medicine countermeasures,Does Not Support,0,,,
Vendor7,Provide for Medical Countermeasures,Provide occupational health services,Out of Box with Configuration,0,,,
Vendor7,Provide for Medical Countermeasures,Provide veterinary services,Does Not Support,0,,,
Vendor7,Public Health Laboratory Services,Conduct-promote laboratory diagnostics development and research,Does Not Support,0,,,
Vendor7,Public Health Laboratory Services,Conduct-promote public health surveillance and epidemiologic research,Out of Box with Configuration,0,,,
Vendor7,Public Health Laboratory Services,Educate targeted populations and the healthcare teams who serve them on public health and laboratory services,Out of Box with Configuration,0,,,
Vendor7,Public Health Laboratory Services,Investigate outbreaks,Out of Box with Configuration,0,,,
Vendor7,Public Health Laboratory Services,Know the rates of specific illnesses that exist in specific populations,Out of Box with Configuration,0,,,
Vendor7,Public Health Laboratory Services,Know what laboratory detectable health threats exist in specific populations,Out of Box with Configuration,0,,,
Vendor7,Public Health Laboratory Services,Know your population,Does Not Support,0,,,
Vendor7,Public Health Laboratory Services,Perform food safety inspections,Does Not Support,0,,,
Vendor7,Public Health Laboratory Services,Perform water safety inspections,Does Not Support,0,,,
Vendor7,Public Health Laboratory Services,Provide laboratory services,Does Not Support,0,,,
Vendor7,Public Health Laboratory Services,Report laboratory results,Out of Box,0,,,
Vendor7,Quality Improvement,Analyze collected data,Out of Box with Configuration,0,,,
Vendor7,Quality Improvement,Identify measures for quality improvement,Out of Box with Configuration,0,,,
Vendor7,Quality Improvement,Identify opportunities for quality improvement,Out of Box with Configuration,0,,,
Vendor7,Quality Improvement,Integrate improvement,Does Not Support,0,,,
Vendor7,Quality Improvement,Make Improvements,Does Not Support,0,,,
Vendor7,Quality Improvement,Reassess actions,Does Not Support,0,,,
Vendor7,Radiology Diagnostic Services,Provide Support for Human Radiology Diagnostic Services,Out of Box with Configuration,0,,,
Vendor7,Radiology Diagnostic Services,Provide Support for Veterinary Imaging,Does Not Support,0,,,
Vendor7,Radiology Diagnostic Services,Support Research,Out of Box with Configuration,0,,,
Vendor7,Risk Management,Every organization shall implement a Risk Management (RM) program,Does Not Support,0,,,
Vendor7,Risk Management,"In cases of actual or potential product liability cases, evidence will be preserved",Out of Box,0,,,
Vendor7,Risk Management,Unexpected adverse patient events shall be documented and investigated,Out of Box with Configuration,0,,,
Vendor7,Routine Ambulatory Care (Dental),Definitive Restorative ADC,Out of Box,0,,,
Vendor7,Routine Ambulatory Care (Dental),Definitive Surgical ADC,Out of Box,0,,,
Vendor7,Routine Ambulatory Care (Dental),Diagnostic Ambulatory Dental Care Active Duty Care (ADC),Out of Box,0,,,
Vendor7,Routine Ambulatory Care (Dental),Emergency ADC,Out of Box,0,,,
Vendor7,Routine Ambulatory Care (Dental),Recall ADC,Out of Box,0,,,
Vendor7,Routine Ambulatory Specialty Care,Delivery of Patient Care that Addresses the Full Spectrum of Biopsychosocial Needs of an Individual (Pediatric- Geriatrics),Out of Box,0,,,
Vendor7,Routine Ambulatory Specialty Care,Document and Archive Data to Enhance Continuity of Care and Promote Ongoing Review and Analysis,Out of Box with Configuration,0,,,
Vendor7,Routine Ambulatory Specialty Care,Education (GME),Out of Box,0,,,
Vendor7,Routine Ambulatory Specialty Care,Multidisciplinary Teams Reflecting Clinical Requirements of a Appropriately referred Patient Population’s Needs,Out of Box,0,,,
Vendor7,Routine Ambulatory Specialty Care,"Provide High Quality Evidence Based Medicine to Patients for the Evaluation, Screening, Diagnosing, and Treatment of Illness and Injury",Out of Box,0,,,
Vendor7,Screening,Define the health screening requirements of specific DoD populations,Out of Box with Configuration,0,,,
Vendor7,Screening,Educate targeted populations and the healthcare teams who serve those populations on the need for screening (this may overlap with community health education),Does Not Support,0,,,
Vendor7,Screening,Promote-do health screening research,Out of Box with Configuration,0,,,
Vendor7,Screening,"Provide evidence-based, cost-effective Class A & B health screening services",Out of Box with Configuration,0,,,
Vendor7,Screening,"Securely track, report, and archive currency of-compliance with recommended health screenings services at the individual and population levels.",Out of Box with Configuration,0,,,
