Vendor,Capability,Task,SupportLevel,CustomizationEffort,System,Comments,C:/Users/pkapaleeswaran/workspacej2/FoxHole/db/VendorSelection/Task.prop
Vendor4,Joint and Service Medical Education and Training: Core and Specialty Medical Education and Training Operational Tasks ,Determine education and training requirements - needs,Out of Box,0,,,
Vendor4,Joint and Service Medical Education and Training: Core and Specialty Medical Education and Training Operational Tasks ,Evaluate Training Programs,Out of Box,0,,,
Vendor4,Joint and Service Medical Education and Training: Core and Specialty Medical Education and Training Operational Tasks ,Provide high-quality basic and specialty military medical training,Does Not Support,0,,,
Vendor4,Dental Care,Diagnosis,Out of Box,0,,,
Vendor4,Dental Care,Document detainee dental care,Out of Box,0,,,
Vendor4,Dental Care,Emergency dental care,Out of Box,0,,,
Vendor4,Dental Care,Restore to health,Out of Box,0,,,
Vendor4,Dental Care,Routine dental care,Out of Box,0,,,
Vendor4,Emergency Detainee Healthcare,Document healthcare,Out of Box,0,,,
Vendor4,Emergency Detainee Healthcare,First responder,Out of Box,0,,,
Vendor4,Emergency Detainee Healthcare,Resuscitative care,Out of Box,0,,,
Vendor4,Detainee Healthcare,Diagnosis,Out of Box,0,,,
Vendor4,Detainee Healthcare,Document detainee healthcare,Out of Box,0,,,
Vendor4,Detainee Healthcare,Liaison with security,Out of Box,0,,,
Vendor4,Detainee Healthcare,Report suspected detainee abuse,Out of Box,0,,,
Vendor4,Detainee Healthcare,Restore to health,Out of Box,0,,,
Vendor4,Detainee Healthcare,Routine detainee healthcare,Out of Box,0,,,
Vendor4,Detainee Healthcare,Rule on legal issues,Does Not Support,0,,,
Vendor4,Disability Counseling and Coaching,Case closure,Out of Box,0,,,
Vendor4,Disability Counseling and Coaching,Coordinate,Out of Box,0,,,
Vendor4,Disability Counseling and Coaching,Counsel,Out of Box,0,,,
Vendor4,Disability Counseling and Coaching,Document- Manage Medical and Non-medical Information,Out of Box,0,,,
Vendor4,Disability Counseling and Coaching,Educate PEBLOs- Counselors,Does Not Support,0,,,
Vendor4,Disability Counseling and Coaching,Identify severely ill or injured service members,Out of Box,0,,,
Vendor4,Disability Counseling and Coaching,Measure Outcomes,Out of Box,0,,,
Vendor4,Disability Counseling and Coaching,Research and Knowledge transfer capability,Out of Box,0,,,
Vendor4,Disease Management (DM),Adoption and Implementation of Evidence-Based Clinical Practice Guidelines,Out of Box,0,,,
Vendor4,Disease Management (DM),Feedback and Reporting to Stakeholders,Out of Box,0,,,
Vendor4,Disease Management (DM),Population Identification,Out of Box,0,,,
Vendor4,Disease Management (DM),"Process and Outcome Measurement, Evaluation and Management",Out of Box,0,,,
Vendor4,Disease Management (DM),Provide Patient Self-Management,Out of Box,0,,,
Vendor4,Disease Management (DM),Utilization of Collaborative Practice Models,Out of Box,0,,,
Vendor4,Emergency Medical Services,Access and Dispatch,Does Not Support,0,,,
Vendor4,Emergency Medical Services,Complete and Archive EMS incident reports,Does Not Support,0,,,
Vendor4,Emergency Medical Services,Disposition,Does Not Support,0,,,
Vendor4,Emergency Medical Services,Medical Direction,Out of Box,0,,,
Vendor4,Emergency Medical Services,Provide Acute and Routine care,Out of Box,0,,,
Vendor4,Emergency Medical Services,Provide Incident Site Care,Out of Box,0,,,
Vendor4,Emergency Medical Services,Receive and treat casualties,Out of Box,0,,,
Vendor4,Emergency Medical Services,Surge and Expand Hospital Capacity,Out of Box,0,,,
Vendor4,Emergency Medical Services,Triage and Treatment,Out of Box,0,,,
Vendor4,Ensure the Physical and Mental Health of the Redeployed Force.,Detailed post-deployment surveys and follow-up surveys and assessments,Out of Box,0,,,
Vendor4,Ensure the Physical and Mental Health of the Redeployed Force.,Ensure physical and mental health of returned Warfighters,Out of Box,0,,,
Vendor4,Ensure the Physical and Mental Health of the Redeployed Force.,Establish routine programs to support post-deployment adjustments for all redeployed forces,Out of Box,0,,,
Vendor4,Ensure the Physical and Mental Health of the Redeployed Force.,Restore-enhance health and fitness of casualties,Out of Box,0,,,
Vendor4,Health Counseling,Define the preventive health counseling requirements of specific DoD populations,Out of Box,0,,,
Vendor4,Health Counseling,Educate targeted populations and the healthcare givers who serve these populations on the need for preventive health counseling (this may overlap with community health education),Out of Box,0,,,
Vendor4,Health Counseling,Promote preventive health counseling research,Out of Box,0,,,
Vendor4,Health Counseling,"Provide evidence- based, cost-effective Class A & B preventive health counseling services",Out of Box,0,,,
Vendor4,Health Counseling,"Track, report, and archive currency of-compliance with recommended preventive health counseling services at the individual and population levels.",Out of Box,0,,,
Vendor4,Medical Information Management: Health Information Performance Assessment Operational Tasks ,Efficiency,Out of Box,0,,,
Vendor4,Medical Information Management: Health Information Performance Assessment Operational Tasks ,Operational Availability,Out of Box,0,,,
Vendor4,Medical Information Management: Health Information Performance Assessment Operational Tasks ,Stewardship,Out of Box,0,,,
Vendor4,Medical Information Management: Health Information Performance Assessment Operational Tasks ,System Testing,Out of Box,0,,,
Vendor4,Medical Information Management: Health Information Performance Assessment Operational Tasks ,Transparency and Decision Support,Out of Box,0,,,
Vendor4,Medical Information Management: Health Information Technology Requirements Development Operational Tasks ,Conduct and Implement Business Process Reengineering (BPR) Review prior to prior to fielding IT solutions,Out of Box,0,,,
Vendor4,Medical Information Management: Health Information Technology Requirements Development Operational Tasks ,Configuration and Release Management,Out of Box,0,,,
Vendor4,Medical Information Management: Health Information Technology Requirements Development Operational Tasks ,Develop Complete Enterprise Architectural Requirements Design Sets for IT procurement,Out of Box,0,,,
Vendor4,Medical Information Management: Health Information Technology Requirements Development Operational Tasks ,Establish IM-IT Strategic Plan and Transition Plan,Out of Box,0,,,
Vendor4,Medical Information Management: Health Information Technology Requirements Development Operational Tasks ,Generate and Maintain IT requirements,Out of Box,0,,,
Vendor4,Medical Information Management: Health Information Technology Requirements Development Operational Tasks ,IT Security Management,Out of Box,0,,,
Vendor4,Medical Information Management: Health Information Technology Requirements Development Operational Tasks ,IT Service Delivery,Does Not Support,0,,,
Vendor4,Medical Information Management: Health Information Technology Requirements Development Operational Tasks ,IT Service Support,Out of Box,0,,,
Vendor4,Medical Information Management: Health Information Technology Requirements Development Operational Tasks ,Provide IM-IT Cost Estimation,Out of Box,0,,,
Vendor4,Medical Information Management: Health Information Technology Requirements Development Operational Tasks ,Provide Information Technology Asset Visibility,Does Not Support,0,,,
Vendor4,Medical Information Management: Health Information Technology Requirements Development Operational Tasks ,Service Transition (Project fielding implementation),Does Not Support,0,,,
Vendor4,Medical Information Management: Health Information Technology Requirements Development Operational Tasks ,Track execution of the MHS IM-IT Strategy,Does Not Support,0,,,
Vendor4,Immunization,Conduct-promote immunization research,Out of Box,0,,,
Vendor4,Immunization,Define the immunization requirements of specific DoD populations,Out of Box,0,,,
Vendor4,Immunization,Develop-maintain rapid vaccine development and production capabilities within the DoD,Does Not Support,0,,,
Vendor4,Immunization,Educate targeted populations and the healthcare teams who serve them on the need for immunizations (this may overlap with community health education),Out of Box,0,,,
Vendor4,Immunization,Identify the health threats to specific DoD populations,Out of Box,0,,,
Vendor4,Immunization,Provide immunization services,Out of Box,0,,,
Vendor4,Immunization,"Securely track, report, and archive currency of-compliance with recommended immunization services and vaccine adverse events at the individual and population levels.",Out of Box,0,,,
Vendor4,Inpatient Diagnostic Services,Document care provided,Out of Box,0,,,
Vendor4,Inpatient Diagnostic Services,Identify patients who will benefit from ambulatory diagnostic testing,Out of Box,0,,,
Vendor4,Inpatient Diagnostic Services,Perform diagnostic test or procedure,Out of Box,0,,,
Vendor4,Inpatient Diagnostic Services,Prepare patient for diagnostic test or procedure,Out of Box,0,,,
Vendor4,Inpatient Diagnostic Services,Provide patient with post diagnostic test instructions,Out of Box,0,,,
Vendor4,Inpatient Diagnostic Services,Recover Patient,Out of Box,0,,,
Vendor4,Inpatient Non-surgical Treatment,Ability to have ongoing Critical Incident Monitoring and Quality Improvement,Out of Box,0,,,
Vendor4,Inpatient Non-surgical Treatment,Assess patient for appropriateness of admission,Out of Box,0,,,
Vendor4,Inpatient Non-surgical Treatment,Completely document patient care delivered and have information included in patient medical record,Out of Box,0,,,
Vendor4,Inpatient Non-surgical Treatment,Evaluate and implement as appropriate advanced technologies and evidenced based medicine,Out of Box,0,,,
Vendor4,Inpatient Non-surgical Treatment,Manage the clinical problems of hospitalized patients.,Out of Box,0,,,
Vendor4,Inpatient Non-surgical Treatment,Sufficient Patient Volume,Out of Box,0,,,
Vendor4,Inpatient Non-surgical Treatment,Support Research and Graduate Medical Education (GME),Out of Box,0,,,
Vendor4,Inpatient Non-surgical Treatment,Surge and Expand Capacity awaiting additional staffing or patient transfer,Out of Box,0,,,
Vendor4,Intensive Care,Ability to have ongoing Critical Incident Monitoring and Quality Improvement,Out of Box,0,,,
Vendor4,Intensive Care,"Assess patient for appropriateness of ICU admission, transfer or general medical-surgical-pediatric ward admission",Out of Box,0,,,
Vendor4,Intensive Care,Completely document patient care delivered and have information included in patient medical record,Out of Box,0,,,
Vendor4,Intensive Care,Deliver the full spectrum of critical care medicine (medical and surgical; across all age continuums in age appropriate manner),Out of Box,0,,,
Vendor4,Intensive Care,Evaluate and implement as appropriate advanced Technologies to best preserve life and limb.,Out of Box,0,,,
Vendor4,Intensive Care,Sufficient Patient Volume,Out of Box,0,,,
Vendor4,Intensive Care,Support Research and Graduate Medical Education (GME),Out of Box,0,,,
Vendor4,Intensive Care,Surge and Expand ICU Capacity awaiting additional staffing or patient transfer,Out of Box,0,,,
Vendor4,Laboratory Diagnostic Services,Implement Advanced Technologies,Out of Box,0,,,
Vendor4,Laboratory Diagnostic Services,Provide Support for Environment Testing,Out of Box,0,,,
Vendor4,Laboratory Diagnostic Services,Provide Support for Human Specimen Source,Out of Box,0,,,
Vendor4,Laboratory Diagnostic Services,Provide Support for Veterinary Specimen Sources,Out of Box,0,,,
Vendor4,Laboratory Diagnostic Services,Support Research,Out of Box,0,,,
Vendor4,Manage Patient Movement Items,Interface within the patient movement request (PMR),Out of Box with Configuration,0,,,
Vendor4,Manage Patient Movement Items,"Procure, sustain and maintain PMI",Does Not Support,0,,,
Vendor4,Medical Logistics: Medical Equipment & Technology Operational Tasks ,Provide the total life cycle management of medical equipment,Does Not Support,0,,,
Vendor4,Medical Logistics Management,Coordinate the distribution of medical materiel in the JOA,Does Not Support,0,,,
Vendor4,Medical Logistics Management,Health services contract management,Does Not Support,0,,,
Vendor4,Medical Logistics Management,Manage biomedical maintenance,Does Not Support,0,,,
Vendor4,Medical Logistics Management,Manage medical facilities,Does Not Support,0,,,
Vendor4,Medical Logistics Management,Manage optical fabrication and repair,Does Not Support,0,,,
Vendor4,Medical Logistics Management,Manage the Class VIII-A materiel,Does Not Support,0,,,
Vendor4,Medical Logistics Management,Manage the Class VIII-B materiel throughout end-to-end supply chain,Does Not Support,0,,,
Vendor4,Medical Logistics Management,Management of medical waste,Does Not Support,0,,,
Vendor4,Medical Logistics Management,Measure and assess performance of medical logistics,Does Not Support,0,,,
Vendor4,Medical Logistics Management,Provision and management of standardized medical equipment,Does Not Support,0,,,
Vendor4,Medical Logistics Management,Provision of hazardous material including medical gasses,Does Not Support,0,,,
Vendor4,Medical Logistics Management,Take action to address performance deficiencies,Does Not Support,0,,,
Vendor4,Medical Logistics Management,Technology,Does Not Support,0,,,
Vendor4,Medical Logistics: Medical Maintenance Operational Tasks ,Manage Biomedical Maintenance,Does Not Support,0,,,
Vendor4,Medical Logistics: Medical Materiel Operational Tasks ,Coordinate the distribution of Medical Materiel in the JOA,Does Not Support,0,,,
Vendor4,Medical Logistics: Medical Materiel Operational Tasks ,Manage Class VIII-A Materiel,Does Not Support,0,,,
Vendor4,Medical Support to Disability Evaluation,Case review and referral into the DES and the creation of a case file.,Out of Box,0,,,
Vendor4,Medical Support to Disability Evaluation,Disability medical evaluation,Out of Box,0,,,
Vendor4,Medical Support to Disability Evaluation,Education and Training,Does Not Support,0,,,
Vendor4,Medical Support to Disability Evaluation,MEB Narrative Summary Creation & MEB disposition,Out of Box,0,,,
Vendor4,Medical Support to Disability Evaluation,MEB case file completion,Out of Box,0,,,
Vendor4,Medical Support to Disability Evaluation,MEB case rebuttal and impartial provider review,Out of Box,0,,,
Vendor4,Medical Support to Disability Evaluation,Networked Information Transfer,Out of Box,0,,,
Vendor4,Medical Support to Disability Evaluation,Security of Personal Health Information,Out of Box,0,,,
Vendor4,Medical Support to Disability Evaluation,Service Member Counseling,Out of Box,0,,,
Vendor4,Medical Support to Disability Evaluation,"Transfer the case file to the PEB and serve as a liaison between the PEB, MTF and the SM.",Out of Box,0,,,
Vendor4,Mental Healthcare,Documentation,Out of Box,0,,,
Vendor4,Mental Healthcare,Early Intervention,Out of Box,0,,,
Vendor4,Mental Healthcare,Prevention,Out of Box,0,,,
Vendor4,Mental Healthcare,Professional and Ethical Responsibilities,Out of Box,0,,,
Vendor4,Mental Healthcare,Service Coordination,Out of Box,0,,,
Vendor4,Mental Healthcare,Treatment Methods,Out of Box,0,,,
Vendor4,Mental Healthcare,Treatment Planning,Out of Box,0,,,
Vendor4,Non-Emergency Medical Transportation,Conduct patient departure- reception activities,Out of Box,0,,,
Vendor4,Non-Emergency Medical Transportation,Coordinate patient movement,Out of Box,0,,,
Vendor4,Non-Emergency Medical Transportation,Develop patient transport plan,Does Not Support,0,,,
Vendor4,Non-Emergency Medical Transportation,Document patient care delivered,Out of Box,0,,,
Vendor4,Non-Emergency Medical Transportation,Provide Enroute care,Out of Box,0,,,
Vendor4,Non-Emergency Medical Transportation,Provide patient transport,Does Not Support,0,,,
Vendor4,Non-Emergency Medical Transportation,Validate administrative preparation for transport,Does Not Support,0,,,
Vendor4,Occupational Health Services,Determine Causality,Out of Box,0,,,
Vendor4,Occupational Health Services,Execute Occupational Health Medical Surveillance Program,Out of Box,0,,,
Vendor4,Occupational Health Services,"Maintain Current understanding of laws, medicine, official policy",Out of Box,0,,,
Vendor4,Occupational Health Services,Match worker physical and mental capabilities to job requirements,Does Not Support,0,,,
Vendor4,Occupational Health Services,Protect workers‘ Reproductive Health,Out of Box,0,,,
Vendor4,Occupational Health Services,Provide Medical Care,Out of Box,0,,,
Vendor4,Occupational Health Services,Provide Occupational Environmental Medicine Consultation,Out of Box,0,,,
Vendor4,Occupational Health Services,Support Other mission essential and mission enhancing programs,Out of Box,0,,,
Vendor4,Occupational Rehabilitation,Develop standardized military occupational rehabilitation model,Out of Box,0,,,
Vendor4,Occupational Rehabilitation,Facilitate community integration & participation in work roles,Out of Box,0,,,
Vendor4,Occupational Rehabilitation,Facilitate return-to-duty or work-volunteer activities in the civilian community,Out of Box,0,,,
Vendor4,Occupational Rehabilitation,"Match worker physical, cognitive, social, and behavioral capabilities to job requirements",Does Not Support,0,,,
Vendor4,Occupational Rehabilitation,Minimize work related injury and impairment,Out of Box,0,,,
Vendor4,Occupational Therapy,"Facilitate cognitive, psychological & social coping - adaptation skills",Out of Box,0,,,
Vendor4,Occupational Therapy,Facilitate community integration & participation in life roles,Out of Box,0,,,
Vendor4,Occupational Therapy,Facilitate return-to-duty or work in the civilian community,Out of Box,0,,,
Vendor4,Occupational Therapy,Maximize functional independence and performance,Out of Box,0,,,
Vendor4,Occupational Therapy,Minimize injury and impairment,Out of Box,0,,,
Vendor4,Optical,Manage Optical Fabrication and Repair,Does Not Support,0,,,
Vendor4,Partnership Development Operational Tasks,Partner and Collaborate with Academia and Research Institutes,Out of Box,0,,,
Vendor4,Partnership Development Operational Tasks,Partner and Collaborate with Industry Leaders,Out of Box,0,,,
Vendor4,Partnership Development Operational Tasks,Partner and Collaborate with Other Federal Agencies,Out of Box,0,,,
Vendor4,Partnership Development Operational Tasks,"Partner with established Health Care Contract Partners, particularly Managed Care Support Contractors",Out of Box,0,,,
Vendor4,Patient Safety,Assess staff‘s opinion of facility‘s patient safety culture,Does Not Support,0,,,
Vendor4,Patient Safety,Implement tools &-or programs to improve safety,Out of Box,0,,,
Vendor4,Patient Safety,MTFs shall actively identify Sentinel Events that occur in these facilities,Out of Box,0,,,
Vendor4,Patient Safety,MTFs shall identify and report actual and potential patient safety problems in medical systems,Out of Box,0,,,
Vendor4,Patient Safety,Measure safety performance over time,Out of Box,0,,,
Vendor4,Patient Safety,Perform Root Cause Analysis of Performance Data when appropriate,Does Not Support,0,,,
Vendor4,Patient Safety,Select a patient safety improvement model,Out of Box,0,,,
Vendor4,Pharmacy Services,"Dispensing Outpatient Medication and Inpatient Medications, to include sterile and bulk compounding",Out of Box,0,,,
Vendor4,Pharmacy Services,Electronic prescription data integrity,Out of Box,0,,,
Vendor4,Pharmacy Services,Ensure patients achieve the best use of medication,Out of Box,0,,,
Vendor4,Pharmacy Services,Formulary Management,Out of Box,0,,,
Vendor4,Pharmacy Services,"Medication distribution to clinics, hospital wards, and medical units",Out of Box,0,,,
Vendor4,Pharmacy Services,Order pharmaceuticals and supplies and inventory management,Out of Box,0,,,
Vendor4,Pharmacy Services,Pharmacy law and regulations,Out of Box,0,,,
Vendor4,Pharmacy Services,Provide process improvement of pharmacy care and pharmacy services,Out of Box,0,,,
Vendor4,Pharmacy Services,Support global operational forces,Out of Box,0,,,
Vendor4,Physical Therapy,"Determine the diagnosis, prognosis, and appropriate treatment plan related to impairments, disability or other health-related conditions that result in functional limitations.",Out of Box,0,,,
Vendor4,Physical Therapy,Facilitate return to duty or physical independence in the civilian community.,Out of Box,0,,,
Vendor4,Physical Therapy,Maximize physical rehabilitation.,Out of Box,0,,,
Vendor4,Physical Therapy,"Prevent injury, impairment, functional limitation, and disability and optimize human performance",Out of Box,0,,,
Vendor4,Physical Therapy,Promote standardized clinical practice models.,Out of Box,0,,,
Vendor4,Preventive Dentistry Services,Assess Risk Factors,Out of Box,0,,,
Vendor4,Preventive Dentistry Services,Manage Oral Disease-Injury,Out of Box,0,,,
Vendor4,Preventive Dentistry Services,Provide Appropriate Preventive Measures,Out of Box,0,,,
Vendor4,Routine Ambulatory Care (Medical): Primary Care,Delivery of Patient Care that Addresses the Full Spectrum of Biopsychosocial Needs of an Individual (Pediatric- Geriatrics),Out of Box,0,,,
Vendor4,Routine Ambulatory Care (Medical): Primary Care,Document and Archive Data to Enhance Continuity of Care and Promote Ongoing Review and Analysis,Out of Box,0,,,
Vendor4,Routine Ambulatory Care (Medical): Primary Care,Multidisciplinary Teams Reflecting Clinical Requirements of a Local Patient Population‘s Needs,Out of Box,0,,,
Vendor4,Routine Ambulatory Care (Medical): Primary Care,"Provide High Quality Evidence Based Medicine to Patients for the Evaluation, Screening, Diagnosing, and Treatment of Illness and Injury",Out of Box,0,,,
Vendor4,Provide Military Working Animal Care,Provide veterinary services,Does Not Support,0,,,
Vendor4,Provide for Medical Countermeasures,Expeditionary immunizations,Out of Box,0,,,
Vendor4,Provide for Medical Countermeasures,Integrate medical-OEH intelligence products into the intelligence preparation of the battlespace (IPB),Out of Box with Configuration,0,,,
Vendor4,Provide for Medical Countermeasures,Provide for immuno-and chemoprophylaxis,Out of Box,0,,,
Vendor4,Provide for Medical Countermeasures,Provide for preventive medicine countermeasures,Out of Box,0,,,
Vendor4,Provide for Medical Countermeasures,Provide occupational health services,Out of Box,0,,,
Vendor4,Provide for Medical Countermeasures,Provide veterinary services,Does Not Support,0,,,
Vendor4,Public Health Laboratory Services,Conduct-promote laboratory diagnostics development and research,Out of Box,0,,,
Vendor4,Public Health Laboratory Services,Conduct-promote public health surveillance and epidemiologic research,Out of Box,0,,,
Vendor4,Public Health Laboratory Services,Educate targeted populations and the healthcare teams who serve them on public health and laboratory services,Out of Box,0,,,
Vendor4,Public Health Laboratory Services,Investigate outbreaks,Out of Box,0,,,
Vendor4,Public Health Laboratory Services,Know the rates of specific illnesses that exist in specific populations,Out of Box,0,,,
Vendor4,Public Health Laboratory Services,Know what laboratory detectable health threats exist in specific populations,Out of Box,0,,,
Vendor4,Public Health Laboratory Services,Know your population,Out of Box,0,,,
Vendor4,Public Health Laboratory Services,Perform food safety inspections,Out of Box,0,,,
Vendor4,Public Health Laboratory Services,Perform water safety inspections,Out of Box,0,,,
Vendor4,Public Health Laboratory Services,Provide laboratory services,Out of Box,0,,,
Vendor4,Public Health Laboratory Services,Report laboratory results,Out of Box,0,,,
Vendor4,Quality Improvement,Analyze collected data,Out of Box,0,,,
Vendor4,Quality Improvement,Identify measures for quality improvement,Out of Box,0,,,
Vendor4,Quality Improvement,Identify opportunities for quality improvement,Out of Box,0,,,
Vendor4,Quality Improvement,Integrate improvement,Out of Box,0,,,
Vendor4,Quality Improvement,Make Improvements,Out of Box,0,,,
Vendor4,Quality Improvement,Reassess actions,Out of Box,0,,,
Vendor4,Radiology Diagnostic Services,Provide Support for Human Radiology Diagnostic Services,Out of Box,0,,,
Vendor4,Radiology Diagnostic Services,Provide Support for Veterinary Imaging,Does Not Support,0,,,
Vendor4,Radiology Diagnostic Services,Support Research,Out of Box,0,,,
Vendor4,Risk Management,Every organization shall implement a Risk Management (RM) program,Out of Box,0,,,
Vendor4,Risk Management,"In cases of actual or potential product liability cases, evidence will be preserved",Does Not Support,0,,,
Vendor4,Risk Management,Unexpected adverse patient events shall be documented and investigated,Out of Box,0,,,
Vendor4,Routine Ambulatory Care (Dental),Definitive Restorative ADC,Out of Box,0,,,
Vendor4,Routine Ambulatory Care (Dental),Definitive Surgical ADC,Out of Box,0,,,
Vendor4,Routine Ambulatory Care (Dental),Diagnostic Ambulatory Dental Care Active Duty Care (ADC),Out of Box,0,,,
Vendor4,Routine Ambulatory Care (Dental),Emergency ADC,Out of Box,0,,,
Vendor4,Routine Ambulatory Care (Dental),Recall ADC,Out of Box,0,,,
Vendor4,Routine Ambulatory Specialty Care,Delivery of Patient Care that Addresses the Full Spectrum of Biopsychosocial Needs of an Individual (Pediatric- Geriatrics),Out of Box,0,,,
Vendor4,Routine Ambulatory Specialty Care,Document and Archive Data to Enhance Continuity of Care and Promote Ongoing Review and Analysis,Out of Box,0,,,
Vendor4,Routine Ambulatory Specialty Care,Education (GME),Out of Box,0,,,
Vendor4,Routine Ambulatory Specialty Care,Multidisciplinary Teams Reflecting Clinical Requirements of a Appropriately referred Patient Population’s Needs,Out of Box,0,,,
Vendor4,Routine Ambulatory Specialty Care,"Provide High Quality Evidence Based Medicine to Patients for the Evaluation, Screening, Diagnosing, and Treatment of Illness and Injury",Out of Box,0,,,
Vendor4,Screening,Define the health screening requirements of specific DoD populations,Out of Box,0,,,
Vendor4,Screening,Educate targeted populations and the healthcare teams who serve those populations on the need for screening (this may overlap with community health education),Out of Box,0,,,
Vendor4,Screening,Promote-do health screening research,Out of Box,0,,,
Vendor4,Screening,"Provide evidence-based, cost-effective Class A & B health screening services",Out of Box,0,,,
Vendor4,Screening,"Securely track, report, and archive currency of-compliance with recommended health screenings services at the individual and population levels.",Out of Box,0,,,
Vendor4,Sensory Rehabilitation-Hearing and Audio-Vestibular Care,"Determine the diagnosis, prognosis, and appropriate treatment plan related to hearing or audio-vestibular impairments or disability that result in loss of hearing function, perceived communication deficit, vestibular complaints, or disabling tinnitus.",Out of Box,0,,,
Vendor4,Sensory Rehabilitation-Hearing and Audio-Vestibular Care,Develop standardized clinical practices for hearing and audio- vestibular assessment and rehabilitation.,Out of Box,0,,,
Vendor4,Sensory Rehabilitation-Hearing and Audio-Vestibular Care,"Maximize rehabilitation for patients suffering from hearing impairment, perceived communication deficits, vestibular complaints, and-or disabling tinnitus.",Out of Box,0,,,
Vendor4,Sensory Rehabilitation-Hearing and Audio-Vestibular Care,"Prevent injury, impairment, functional limitation, and disability for hearing and-or tinnitus and optimize human performance.",Out of Box,0,,,
Vendor4,Sensory Rehabilitation-Hearing and Audio-Vestibular Care,Promote standardized clinical practice models for hearing healthcare.,Out of Box,0,,,
Vendor4,Substance Abuse Care,"Client, Family, and Community Education",Out of Box,0,,,
Vendor4,Substance Abuse Care,Clinical Evaluation,Out of Box,0,,,
