Vendor,Capability,Task,SupportLevel,CustomizationEffort,System,Comments,C:/Users/pkapaleeswaran/workspacej2/FoxHole/db/VendorSelection/Task.prop
Vendor10,Disability Counseling and Coaching,Research and Knowledge transfer capability,Does not support,0,,,
Vendor10,Disease Management (DM),Adoption and Implementation of Evidence-Based Clinical Practice Guidelines,Does not support,0,,,
Vendor10,Disease Management (DM),Feedback and Reporting to Stakeholders,Does not support,0,,,
Vendor10,Disease Management (DM),Population Identification,Does not support,0,,,
Vendor10,Disease Management (DM),"Process and Outcome Measurement, Evaluation and Management",Does not support,0,,,
Vendor10,Disease Management (DM),Provide Patient Self-Management,Does not support,0,,,
Vendor10,Disease Management (DM),Utilization of Collaborative Practice Models,Does not support,0,,,
Vendor10,Emergency Medical Services,Access and Dispatch,Does not support,0,,,
Vendor10,Emergency Medical Services,Complete and Archive EMS incident reports,Does not support,0,,,
Vendor10,Emergency Medical Services,Disposition,Does not support,0,,,
Vendor10,Emergency Medical Services,Medical Direction,Does not support,0,,,
Vendor10,Emergency Medical Services,Provide Acute and Routine care,Does not support,0,,,
Vendor10,Emergency Medical Services,Provide Incident Site Care,Does not support,0,,,
Vendor10,Emergency Medical Services,Receive and treat casualties,Does not support,0,,,
Vendor10,Emergency Medical Services,Surge and Expand Hospital Capacity,Does not support,0,,,
Vendor10,Emergency Medical Services,Triage and Treatment,Does not support,0,,,
Vendor10,Ensure the Physical and Mental Health of the Redeployed Force.,Detailed post-deployment surveys and follow-up surveys and assessments,Does not support,0,,,
Vendor10,Ensure the Physical and Mental Health of the Redeployed Force.,Ensure physical and mental health of returned Warfighters,Does not support,0,,,
Vendor10,Ensure the Physical and Mental Health of the Redeployed Force.,Establish routine programs to support post-deployment adjustments for all redeployed forces,Does not support,0,,,
Vendor10,Ensure the Physical and Mental Health of the Redeployed Force.,Restore-enhance health and fitness of casualties,Does not support,0,,,
Vendor10,Health Counseling,Define the preventive health counseling requirements of specific DoD populations,Does not support,0,,,
Vendor10,Health Counseling,Educate targeted populations and the healthcare givers who serve these populations on the need for preventive health counseling (this may overlap with community health education),Does not support,0,,,
Vendor10,Health Counseling,Promote preventive health counseling research,Does not support,0,,,
Vendor10,Health Counseling,"Provide evidence- based, cost-effective Class A & B preventive health counseling services",Does not support,0,,,
Vendor10,Health Counseling,"Track, report, and archive currency of-compliance with recommended preventive health counseling services at the individual and population levels.",Does not support,0,,,
Vendor10,Medical Information Management: Health Information Performance Assessment Operational Tasks ,Efficiency,Does not support,0,,,
Vendor10,Medical Information Management: Health Information Performance Assessment Operational Tasks ,Operational Availability,Does not support,0,,,
Vendor10,Medical Information Management: Health Information Performance Assessment Operational Tasks ,Stewardship,Does not support,0,,,
Vendor10,Medical Information Management: Health Information Performance Assessment Operational Tasks ,System Testing,Does not support,0,,,
Vendor10,Medical Information Management: Health Information Performance Assessment Operational Tasks ,Transparency and Decision Support,Does not support,0,,,
Vendor10,Medical Information Management: Health Information Technology Requirements Development Operational Tasks ,Conduct and Implement Business Process Reengineering (BPR) Review prior to prior to fielding IT solutions,Does not support,0,,,
Vendor10,Medical Information Management: Health Information Technology Requirements Development Operational Tasks ,Configuration and Release Management,Does not support,0,,,
Vendor10,Medical Information Management: Health Information Technology Requirements Development Operational Tasks ,Develop Complete Enterprise Architectural Requirements Design Sets for IT procurement,Does not support,0,,,
Vendor10,Medical Information Management: Health Information Technology Requirements Development Operational Tasks ,Establish IM-IT Strategic Plan and Transition Plan,Does not support,0,,,
Vendor10,Medical Information Management: Health Information Technology Requirements Development Operational Tasks ,Generate and Maintain IT requirements,Does not support,0,,,
Vendor10,Medical Information Management: Health Information Technology Requirements Development Operational Tasks ,IT Security Management,Does not support,0,,,
Vendor10,Medical Information Management: Health Information Technology Requirements Development Operational Tasks ,IT Service Delivery,Does not support,0,,,
Vendor10,Medical Information Management: Health Information Technology Requirements Development Operational Tasks ,IT Service Support,Does not support,0,,,
Vendor10,Medical Information Management: Health Information Technology Requirements Development Operational Tasks ,Provide IM-IT Cost Estimation,Does not support,0,,,
Vendor10,Medical Information Management: Health Information Technology Requirements Development Operational Tasks ,Provide Information Technology Asset Visibility,Does not support,0,,,
Vendor10,Medical Information Management: Health Information Technology Requirements Development Operational Tasks ,Service Transition (Project fielding implementation),Does not support,0,,,
Vendor10,Medical Information Management: Health Information Technology Requirements Development Operational Tasks ,Track execution of the MHS IM-IT Strategy,Does not support,0,,,
Vendor10,Immunization,Conduct-promote immunization research,Does not support,0,,,
Vendor10,Immunization,Define the immunization requirements of specific DoD populations,Does not support,0,,,
Vendor10,Immunization,Develop-maintain rapid vaccine development and production capabilities within the DoD,Does not support,0,,,
Vendor10,Immunization,Educate targeted populations and the healthcare teams who serve them on the need for immunizations (this may overlap with community health education),Does not support,0,,,
Vendor10,Immunization,Identify the health threats to specific DoD populations,Does not support,0,,,
Vendor10,Immunization,Provide immunization services,Does not support,0,,,
Vendor10,Immunization,"Securely track, report, and archive currency of-compliance with recommended immunization services and vaccine adverse events at the individual and population levels.",Does not support,0,,,
Vendor10,Inpatient Diagnostic Services,Document care provided,Does not support,0,,,
Vendor10,Inpatient Diagnostic Services,Identify patients who will benefit from ambulatory diagnostic testing,Does not support,0,,,
Vendor10,Inpatient Diagnostic Services,Perform diagnostic test or procedure,Does not support,0,,,
Vendor10,Inpatient Diagnostic Services,Prepare patient for diagnostic test or procedure,Does not support,0,,,
Vendor10,Inpatient Diagnostic Services,Provide patient with post diagnostic test instructions,Does not support,0,,,
Vendor10,Inpatient Diagnostic Services,Recover Patient,Does not support,0,,,
Vendor10,Inpatient Non-surgical Treatment,Ability to have ongoing Critical Incident Monitoring and Quality Improvement,Does not support,0,,,
Vendor10,Inpatient Non-surgical Treatment,Assess patient for appropriateness of admission,Does not support,0,,,
Vendor10,Inpatient Non-surgical Treatment,Completely document patient care delivered and have information included in patient medical record,Does not support,0,,,
Vendor10,Inpatient Non-surgical Treatment,Evaluate and implement as appropriate advanced technologies and evidenced based medicine,Does not support,0,,,
Vendor10,Inpatient Non-surgical Treatment,Manage the clinical problems of hospitalized patients.,Does not support,0,,,
Vendor10,Inpatient Non-surgical Treatment,Sufficient Patient Volume,Does not support,0,,,
Vendor10,Inpatient Non-surgical Treatment,Support Research and Graduate Medical Education (GME),Does not support,0,,,
Vendor10,Inpatient Non-surgical Treatment,Surge and Expand Capacity awaiting additional staffing or patient transfer,Does not support,0,,,
Vendor10,Intensive Care,Ability to have ongoing Critical Incident Monitoring and Quality Improvement,Does not support,0,,,
Vendor10,Intensive Care,"Assess patient for appropriateness of ICU admission, transfer or general medical-surgical-pediatric ward admission",Does not support,0,,,
Vendor10,Intensive Care,Completely document patient care delivered and have information included in patient medical record,Does not support,0,,,
Vendor10,Intensive Care,Deliver the full spectrum of critical care medicine (medical and surgical; across all age continuums in age appropriate manner),Does not support,0,,,
Vendor10,Intensive Care,Evaluate and implement as appropriate advanced Technologies to best preserve life and limb.,Does not support,0,,,
Vendor10,Intensive Care,Sufficient Patient Volume,Does not support,0,,,
Vendor10,Intensive Care,Support Research and Graduate Medical Education (GME),Does not support,0,,,
Vendor10,Intensive Care,Surge and Expand ICU Capacity awaiting additional staffing or patient transfer,Does not support,0,,,
Vendor10,Laboratory Diagnostic Services,Implement Advanced Technologies,Does not support,0,,,
Vendor10,Laboratory Diagnostic Services,Provide Support for Environment Testing,Does not support,0,,,
Vendor10,Laboratory Diagnostic Services,Provide Support for Human Specimen Source,Does not support,0,,,
Vendor10,Laboratory Diagnostic Services,Provide Support for Veterinary Specimen Sources,Does not support,0,,,
Vendor10,Laboratory Diagnostic Services,Support Research,Does not support,0,,,
Vendor10,Manage Patient Movement Items,Interface within the patient movement request (PMR),Does not support,0,,,
Vendor10,Manage Patient Movement Items,"Procure, sustain and maintain PMI",Does not support,0,,,
Vendor10,Medical Logistics: Medical Equipment & Technology Operational Tasks ,Provide the total life cycle management of medical equipment,Does not support,0,,,
Vendor10,Medical Logistics Management,Coordinate the distribution of medical materiel in the JOA,Does not support,0,,,
Vendor10,Medical Logistics Management,Health services contract management,Does not support,0,,,
Vendor10,Medical Logistics Management,Manage biomedical maintenance,Does not support,0,,,
Vendor10,Medical Logistics Management,Manage medical facilities,Does not support,0,,,
Vendor10,Medical Logistics Management,Manage optical fabrication and repair,Does not support,0,,,
Vendor10,Medical Logistics Management,Manage the Class VIII-A materiel,Does not support,0,,,
Vendor10,Medical Logistics Management,Manage the Class VIII-B materiel throughout end-to-end supply chain,Does not support,0,,,
Vendor10,Medical Logistics Management,Management of medical waste,Does not support,0,,,
Vendor10,Medical Logistics Management,Measure and assess performance of medical logistics,Does not support,0,,,
Vendor10,Medical Logistics Management,Provision and management of standardized medical equipment,Does not support,0,,,
Vendor10,Medical Logistics Management,Provision of hazardous material including medical gasses,Does not support,0,,,
Vendor10,Medical Logistics Management,Take action to address performance deficiencies,Does not support,0,,,
Vendor10,Medical Logistics Management,Technology,Does not support,0,,,
Vendor10,Medical Logistics: Medical Maintenance Operational Tasks ,Manage Biomedical Maintenance,Does not support,0,,,
Vendor10,Medical Logistics: Medical Materiel Operational Tasks ,Coordinate the distribution of Medical Materiel in the JOA,Does not support,0,,,
Vendor10,Medical Logistics: Medical Materiel Operational Tasks ,Manage Class VIII-A Materiel,Does not support,0,,,
Vendor10,Medical Support to Disability Evaluation,Case review and referral into the DES and the creation of a case file.,Does not support,0,,,
Vendor10,Medical Support to Disability Evaluation,Disability medical evaluation,Does not support,0,,,
Vendor10,Medical Support to Disability Evaluation,Education and Training,Does not support,0,,,
Vendor10,Medical Support to Disability Evaluation,MEB Narrative Summary Creation & MEB disposition,Does not support,0,,,
Vendor10,Medical Support to Disability Evaluation,MEB case file completion,Does not support,0,,,
Vendor10,Medical Support to Disability Evaluation,MEB case rebuttal and impartial provider review,Does not support,0,,,
Vendor10,Medical Support to Disability Evaluation,Networked Information Transfer,Does not support,0,,,
Vendor10,Medical Support to Disability Evaluation,Security of Personal Health Information,Does not support,0,,,
Vendor10,Medical Support to Disability Evaluation,Service Member Counseling,Does not support,0,,,
Vendor10,Medical Support to Disability Evaluation,"Transfer the case file to the PEB and serve as a liaison between the PEB, MTF and the SM.",Does not support,0,,,
Vendor10,Mental Healthcare,Documentation,Does not support,0,,,
Vendor10,Mental Healthcare,Early Intervention,Does not support,0,,,
Vendor10,Mental Healthcare,Prevention,Does not support,0,,,
Vendor10,Mental Healthcare,Professional and Ethical Responsibilities,Does not support,0,,,
Vendor10,Mental Healthcare,Service Coordination,Does not support,0,,,
Vendor10,Mental Healthcare,Treatment Methods,Does not support,0,,,
Vendor10,Mental Healthcare,Treatment Planning,Does not support,0,,,
Vendor10,Non-Emergency Medical Transportation,Conduct patient departure- reception activities,Does not support,0,,,
Vendor10,Non-Emergency Medical Transportation,Coordinate patient movement,Does not support,0,,,
Vendor10,Non-Emergency Medical Transportation,Develop patient transport plan,Does not support,0,,,
Vendor10,Non-Emergency Medical Transportation,Document patient care delivered,Does not support,0,,,
Vendor10,Non-Emergency Medical Transportation,Provide Enroute care,Does not support,0,,,
Vendor10,Non-Emergency Medical Transportation,Provide patient transport,Does not support,0,,,
Vendor10,Non-Emergency Medical Transportation,Validate administrative preparation for transport,Does not support,0,,,
Vendor10,Occupational Health Services,Determine Causality,Does not support,0,,,
Vendor10,Occupational Health Services,Execute Occupational Health Medical Surveillance Program,Does not support,0,,,
Vendor10,Occupational Health Services,"Maintain Current understanding of laws, medicine, official policy",Does not support,0,,,
Vendor10,Occupational Health Services,Match worker physical and mental capabilities to job requirements,Does not support,0,,,
Vendor10,Occupational Health Services,Protect workers‘ Reproductive Health,Does not support,0,,,
Vendor10,Occupational Health Services,Provide Medical Care,Does not support,0,,,
Vendor10,Occupational Health Services,Provide Occupational Environmental Medicine Consultation,Does not support,0,,,
Vendor10,Occupational Health Services,Support Other mission essential and mission enhancing programs,Does not support,0,,,
Vendor10,Occupational Rehabilitation,Develop standardized military occupational rehabilitation model,Does not support,0,,,
Vendor10,Occupational Rehabilitation,Facilitate community integration & participation in work roles,Does not support,0,,,
Vendor10,Occupational Rehabilitation,Facilitate return-to-duty or work-volunteer activities in the civilian community,Does not support,0,,,
Vendor10,Occupational Rehabilitation,"Match worker physical, cognitive, social, and behavioral capabilities to job requirements",Does not support,0,,,
Vendor10,Occupational Rehabilitation,Minimize work related injury and impairment,Does not support,0,,,
Vendor10,Occupational Therapy,"Facilitate cognitive, psychological & social coping - adaptation skills",Does not support,0,,,
Vendor10,Occupational Therapy,Facilitate community integration & participation in life roles,Does not support,0,,,
Vendor10,Occupational Therapy,Facilitate return-to-duty or work in the civilian community,Does not support,0,,,
Vendor10,Occupational Therapy,Maximize functional independence and performance,Does not support,0,,,
Vendor10,Occupational Therapy,Minimize injury and impairment,Does not support,0,,,
Vendor10,Optical,Manage Optical Fabrication and Repair,Does not support,0,,,
Vendor10,Partnership Development Operational Tasks,Partner and Collaborate with Academia and Research Institutes,Does not support,0,,,
Vendor10,Partnership Development Operational Tasks,Partner and Collaborate with Industry Leaders,Does not support,0,,,
Vendor10,Partnership Development Operational Tasks,Partner and Collaborate with Other Federal Agencies,Does not support,0,,,
Vendor10,Partnership Development Operational Tasks,"Partner with established Health Care Contract Partners, particularly Managed Care Support Contractors",Does not support,0,,,
Vendor10,Patient Safety,Assess staff‘s opinion of facility‘s patient safety culture,Does not support,0,,,
Vendor10,Patient Safety,Implement tools &-or programs to improve safety,Does not support,0,,,
Vendor10,Patient Safety,MTFs shall actively identify Sentinel Events that occur in these facilities,Does not support,0,,,
Vendor10,Patient Safety,MTFs shall identify and report actual and potential patient safety problems in medical systems,Does not support,0,,,
Vendor10,Patient Safety,Measure safety performance over time,Does not support,0,,,
Vendor10,Patient Safety,Perform Root Cause Analysis of Performance Data when appropriate,Does not support,0,,,
Vendor10,Patient Safety,Select a patient safety improvement model,Does not support,0,,,
Vendor10,Pharmacy Services,"Dispensing Outpatient Medication and Inpatient Medications, to include sterile and bulk compounding",Does not support,0,,,
Vendor10,Pharmacy Services,Electronic prescription data integrity,Does not support,0,,,
Vendor10,Pharmacy Services,Ensure patients achieve the best use of medication,Does not support,0,,,
Vendor10,Pharmacy Services,Formulary Management,Does not support,0,,,
Vendor10,Pharmacy Services,"Medication distribution to clinics, hospital wards, and medical units",Does not support,0,,,
Vendor10,Pharmacy Services,Order pharmaceuticals and supplies and inventory management,Does not support,0,,,
Vendor10,Pharmacy Services,Pharmacy law and regulations,Does not support,0,,,
Vendor10,Pharmacy Services,Provide process improvement of pharmacy care and pharmacy services,Does not support,0,,,
Vendor10,Pharmacy Services,Support global operational forces,Does not support,0,,,
Vendor10,Physical Therapy,"Determine the diagnosis, prognosis, and appropriate treatment plan related to impairments, disability or other health-related conditions that result in functional limitations.",Does not support,0,,,
Vendor10,Physical Therapy,Facilitate return to duty or physical independence in the civilian community.,Does not support,0,,,
Vendor10,Physical Therapy,Maximize physical rehabilitation.,Does not support,0,,,
Vendor10,Physical Therapy,"Prevent injury, impairment, functional limitation, and disability and optimize human performance",Does not support,0,,,
Vendor10,Physical Therapy,Promote standardized clinical practice models.,Does not support,0,,,
Vendor10,Preventive Dentistry Services,Assess Risk Factors,Does not support,0,,,
Vendor10,Preventive Dentistry Services,Manage Oral Disease-Injury,Does not support,0,,,
Vendor10,Preventive Dentistry Services,Provide Appropriate Preventive Measures,Does not support,0,,,
Vendor10,Routine Ambulatory Care (Medical): Primary Care,Delivery of Patient Care that Addresses the Full Spectrum of Biopsychosocial Needs of an Individual (Pediatric- Geriatrics),Does not support,0,,,
Vendor10,Routine Ambulatory Care (Medical): Primary Care,Document and Archive Data to Enhance Continuity of Care and Promote Ongoing Review and Analysis,Does not support,0,,,
Vendor10,Routine Ambulatory Care (Medical): Primary Care,Multidisciplinary Teams Reflecting Clinical Requirements of a Local Patient Population‘s Needs,Does not support,0,,,
Vendor10,Routine Ambulatory Care (Medical): Primary Care,"Provide High Quality Evidence Based Medicine to Patients for the Evaluation, Screening, Diagnosing, and Treatment of Illness and Injury",Does not support,0,,,
Vendor10,Provide Military Working Animal Care,Provide veterinary services,Does not support,0,,,
Vendor10,Provide for Medical Countermeasures,Expeditionary immunizations,Does not support,0,,,
Vendor10,Provide for Medical Countermeasures,Integrate medical-OEH intelligence products into the intelligence preparation of the battlespace (IPB),Does not support,0,,,
Vendor10,Provide for Medical Countermeasures,Provide for immuno-and chemoprophylaxis,Does not support,0,,,
Vendor10,Provide for Medical Countermeasures,Provide for preventive medicine countermeasures,Does not support,0,,,
Vendor10,Provide for Medical Countermeasures,Provide occupational health services,Does not support,0,,,
Vendor10,Provide for Medical Countermeasures,Provide veterinary services,Does not support,0,,,
Vendor10,Public Health Laboratory Services,Conduct-promote laboratory diagnostics development and research,Does not support,0,,,
Vendor10,Public Health Laboratory Services,Conduct-promote public health surveillance and epidemiologic research,Does not support,0,,,
Vendor10,Public Health Laboratory Services,Educate targeted populations and the healthcare teams who serve them on public health and laboratory services,Does not support,0,,,
Vendor10,Public Health Laboratory Services,Investigate outbreaks,Does not support,0,,,
Vendor10,Public Health Laboratory Services,Know the rates of specific illnesses that exist in specific populations,Does not support,0,,,
Vendor10,Public Health Laboratory Services,Know what laboratory detectable health threats exist in specific populations,Does not support,0,,,
Vendor10,Public Health Laboratory Services,Know your population,Does not support,0,,,
Vendor10,Public Health Laboratory Services,Perform food safety inspections,Does not support,0,,,
Vendor10,Public Health Laboratory Services,Perform water safety inspections,Does not support,0,,,
Vendor10,Public Health Laboratory Services,Provide laboratory services,Does not support,0,,,
Vendor10,Public Health Laboratory Services,Report laboratory results,Does not support,0,,,
Vendor10,Quality Improvement,Analyze collected data,Does not support,0,,,
Vendor10,Quality Improvement,Identify measures for quality improvement,Does not support,0,,,
Vendor10,Quality Improvement,Identify opportunities for quality improvement,Does not support,0,,,
Vendor10,Quality Improvement,Integrate improvement,Does not support,0,,,
Vendor10,Quality Improvement,Make Improvements,Does not support,0,,,
Vendor10,Quality Improvement,Reassess actions,Does not support,0,,,
Vendor10,Radiology Diagnostic Services,Provide Support for Human Radiology Diagnostic Services,Does not support,0,,,
Vendor10,Radiology Diagnostic Services,Provide Support for Veterinary Imaging,Does not support,0,,,
Vendor10,Radiology Diagnostic Services,Support Research,Does not support,0,,,
Vendor10,Risk Management,Every organization shall implement a Risk Management (RM) program,Does not support,0,,,
Vendor10,Risk Management,"In cases of actual or potential product liability cases, evidence will be preserved",Does not support,0,,,
Vendor10,Risk Management,Unexpected adverse patient events shall be documented and investigated,Does not support,0,,,
Vendor10,Routine Ambulatory Care (Dental),Definitive Restorative ADC,Out of Box,0,,,
Vendor10,Routine Ambulatory Care (Dental),Definitive Surgical ADC,Out of Box,0,,,
Vendor10,Routine Ambulatory Care (Dental),Diagnostic Ambulatory Dental Care Active Duty Care (ADC),Out of Box,0,,,
Vendor10,Routine Ambulatory Care (Dental),Emergency ADC,Out of Box,0,,,
Vendor10,Routine Ambulatory Care (Dental),Recall ADC,Out of Box with Customization,0,,,
Vendor10,Routine Ambulatory Specialty Care,Delivery of Patient Care that Addresses the Full Spectrum of Biopsychosocial Needs of an Individual (Pediatric- Geriatrics),Does not support,0,,,
Vendor10,Routine Ambulatory Specialty Care,Document and Archive Data to Enhance Continuity of Care and Promote Ongoing Review and Analysis,Does not support,0,,,
Vendor10,Routine Ambulatory Specialty Care,Education (GME),Does not support,0,,,
Vendor10,Routine Ambulatory Specialty Care,Multidisciplinary Teams Reflecting Clinical Requirements of a Appropriately referred Patient Population’s Needs,Does not support,0,,,
Vendor10,Routine Ambulatory Specialty Care,"Provide High Quality Evidence Based Medicine to Patients for the Evaluation, Screening, Diagnosing, and Treatment of Illness and Injury",Does not support,0,,,
Vendor10,Screening,Define the health screening requirements of specific DoD populations,Does not support,0,,,
Vendor10,Screening,Educate targeted populations and the healthcare teams who serve those populations on the need for screening (this may overlap with community health education),Does not support,0,,,
Vendor10,Screening,Promote-do health screening research,Does not support,0,,,
Vendor10,Screening,"Provide evidence-based, cost-effective Class A & B health screening services",Does not support,0,,,
Vendor10,Screening,"Securely track, report, and archive currency of-compliance with recommended health screenings services at the individual and population levels.",Does not support,0,,,
Vendor10,Sensory Rehabilitation-Hearing and Audio-Vestibular Care,"Determine the diagnosis, prognosis, and appropriate treatment plan related to hearing or audio-vestibular impairments or disability that result in loss of hearing function, perceived communication deficit, vestibular complaints, or disabling tinnitus.",Does not support,0,,,
Vendor10,Sensory Rehabilitation-Hearing and Audio-Vestibular Care,Develop standardized clinical practices for hearing and audio- vestibular assessment and rehabilitation.,Does not support,0,,,
Vendor10,Sensory Rehabilitation-Hearing and Audio-Vestibular Care,"Maximize rehabilitation for patients suffering from hearing impairment, perceived communication deficits, vestibular complaints, and-or disabling tinnitus.",Does not support,0,,,
Vendor10,Sensory Rehabilitation-Hearing and Audio-Vestibular Care,"Prevent injury, impairment, functional limitation, and disability for hearing and-or tinnitus and optimize human performance.",Does not support,0,,,
Vendor10,Sensory Rehabilitation-Hearing and Audio-Vestibular Care,Promote standardized clinical practice models for hearing healthcare.,Does not support,0,,,
Vendor10,Substance Abuse Care,"Client, Family, and Community Education",Does not support,0,,,
Vendor10,Substance Abuse Care,Clinical Evaluation,Does not support,0,,,
Vendor10,Substance Abuse Care,Counseling,Does not support,0,,,
Vendor10,Substance Abuse Care,Documentation,Does not support,0,,,
Vendor10,Substance Abuse Care,Professional and Ethical Responsibilities,Does not support,0,,,
Vendor10,Substance Abuse Care,Service Coordination,Does not support,0,,,
Vendor10,Substance Abuse Care,Treatment Planning,Does not support,0,,,
Vendor10,Surgery (Ambulatory),Discharge patient,Does not support,0,,,
Vendor10,Surgery (Ambulatory),Document care provided,Does not support,0,,,
Vendor10,Surgery (Ambulatory),Identify patients who will benefit from outpatient surgery,Does not support,0,,,
Vendor10,Surgery (Ambulatory),Perform surgical procedure,Does not support,0,,,
